de8f09737e4e24be2044d220f54638233283460e6809bc74c46b3dd9ab4d5764,2b647f5deb67d262d1120499b0e3373506638be36c9479f865b18418bc342c6e,e8c7c36b5b52aa366222c8749e591007d3f6c511536496c86e6bf1fbc7e6be71
"101","1","サイドストーリーでは、特別なストーリーを楽しめます。\nイベントストーリーはイベントクエストを進めると解放されていきます。"
"201","2","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"301","3","ボスに挑戦すると、信頼度エピソードが発生する\nことがございます。会話の結果によって信頼度がアップし、\n特定の信頼度に到達するとプレゼントがもらえます。"
"20005","4","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20007","5","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20009","6","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20010","7","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20011","8","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20013","9","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20015","10","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20016","11","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20018","12","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20020","13","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20021","14","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20022","15","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20025","16","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20026","17","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20027","18","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20029","19","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20031","20","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20032","21","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20033","22","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20035","23","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20038","24","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20040","25","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20042","26","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20044","27","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20045","28","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20047","29","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20051","30","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20052","31","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20053","32","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20055","33","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20057","34","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20058","35","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20059","36","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"2003201","2003201","VERY HARDでカズマサさまが援護してくれるようです。\n強力なスタン効果のユニオンバーストで、サポートしてくださいますよ。\nボスが身動きを取れなくなっている間に、一気に倒しましょう。"
"2003901","2003901","主さまが宿題に励んでおられるようです。\n宿題が終わるまでモンスターの攻撃を耐え抜けば勝利となりますよ。\n宿題がどこまで進んでいるかは画面のゲージを確認しましょう。	"
