086c6b29c61f25c4e360bd21807090421b876a3f15cad586bd906fee3717f4c6,03fe7f038904a5745f5ca54d6ef90006235438ed2d0b1712563c909f785b3f8f,7d7318d9d1d13e15d87ae0e3fd3f42da8808f4dae796102f366646b470dd6371,540f71d90742695410376a1934e524017a9656e4501f7f4d904645c422aa6da3,db6864f014096a9ef5d89d3aa94bc5ad94cc4c9f8f137a7f62f56906ae4c984b,248bbd31eaee5e86a811c001f821a68a3e56f3dc6a9b5bd1e44b6cc4886695e3,a5f92accea37e81a8ce0baeb7b0e0d2a8c50da5ce59455f2e3065016903d898a,d8137c848f3172cfaf575fac55cdc8b348c68e0c3634d4d63871733f9d3e72bb,cfba0448bd628eb0e6fe660493b98fed16e4932c424758fd587fb0edc05e0a5d,2cbfb3bb77442583f190149eeda36e81773139e5c066a707b8c6ac1eac09c68c,1b0e68bf5130b73d63ca7a24fba75e9437c7416038dc2f3d52579416c2ced4cf
"1","1","pkb_idle_normal","1","64","1.65","113511","100","1010001","-175","1"
"3","1","","","","0.2","pkb_talk_wish","1","1010002","","113511"
"21","1","","","0","","vo_minigame_1006_top_101","0","1010003","","vo_minigame_1006"
"11","1","0","0","0","0","今日も先生と一緒に\n頑張りましょうね～","8","1010004","0","113511"
"91","1","","","","","","","1010005","","0"
"3","1","","","","0.2","pkb_idle_normal","1","1010006","","113511"
"1","2","pkb_idle_normal","1","64","1.65","113511","100","1020001","-175","1"
"3","2","","","","0.2","pkb_talk_wish","1","1020002","","113511"
"21","2","","","0","","vo_minigame_1006_top_102","0","1020003","","vo_minigame_1006"
"11","2","0.5","0","0","0","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","6","1020004","0","113511"
"93","2","","","","","","","1020005","","6"
"3","2","","","pkb_idle_normal","0.2","pkb_talk_fun","0","1020006","1","113511"
"91","2","","","","","","","1020007","","1020004"
"3","2","","","","0.2","pkb_idle_normal","1","1020008","","113511"
"1","3","pkb_idle_normal","1","64","1.65","113511","100","1030001","-175","1"
"3","3","","0.2","pkb_idle_normal","0.2","pkb_smile","0","1030002","1","113511"
"21","3","","","0","","vo_minigame_1006_top_103","0","1030003","","vo_minigame_1006"
"11","3","0","0","0","0","ケガには気を付けてね\n無理は禁物ですよ～♪","6","1030004","0","113511"
"93","3","","","","","","","1030005","","2"
"3","3","","","","0.2","pkb_talk_wish","1","1030006","","113511"
"91","3","","","","","","","1030007","","1030004"
"3","3","","","","0.2","pkb_idle_normal","1","1030008","","113511"
