e3a05e0ef0cafa94a133dfc28db75cc422fb73664dc503abaa5313787f1acb98,6441b27da41a344ef20dfd2ba9bcab8e6de0a2a8f431e7a30d866f59f4aa69f3,db4de3da3b1e6852f2768ac4f7dc56706cd9a07074886fcaf60a2098cdea6856,374496f2842491ac5c6d2756e3bf6b2400ae686ca04ab53f61248e2569bf8134,d45565c551669fd711dd66b7d929e7b1164ce81e650880f2fd33b406a7affeec,c6a477f93ae5d71e4e8b2862f500ce840eed7b8fa210cffe40ce3587bf464231,c14b311e17ef3b1ab2af433c70638fcb44d2330948c0664614f034f589b62289
"0","0","料理入手イベント","0","1","1","3"
"0","0","ダイス入手イベント1","0","2","2","1"
"0","0","ダイス入手イベント2","0","2","3","2"
"3","0","ターン数カウントスキップ","1","3","4","0"
"2","1","マイル+100%","0","4","5","100"
"2","1","ミニゲームマイル+100%","0","5","6","100"
"3","1","ショップ割引イベント","0","6","7","300"
"3","1","ショップ割引イベント","0","6","8","300"
"3","0","ターン数カウントスキップ1","2","3","98001","0"
"3","0","ターン数カウントスキップ1","1","3","98011","0"
"3","0","ターン数カウントスキップ2","2","3","98012","0"
