647ca31f13ae5eb8ea9f10fa194b212d5eda1467b9df626c85e779c0d8d0ea7d,f139fa8c28ad60203d2c0be1d3593cd740350826d62c85c344159203c218695f,20b27b2abd51bdd5df979389284863a47bb576a92df00ff3d70cf602e6f975c1,004f4b0d6376b9b78246d389faa1c16bfbeb8578056573b73da5b86be8ce6696,be127ca6ab5cb892d520351d5a62feed9cc06fbefa37d4be722afa8905f69631,fc79b16c28edf0e751bf4d258df8d466e2318ec17d8fad217f02fb688ab71e46
"150","1","1","10","150","0"
"400","2","1","10","250","0"
"800","3","1","10","400","0"
"150","1","2","20","150","0"
"400","2","2","20","250","0"
"800","3","2","20","400","0"
"1300","4","2","20","500","1"
"800","1","3","30","800","0"
"1800","2","3","30","1000","0"
"3000","3","3","30","1200","0"
"4400","4","3","30","1400","1"
"6000","5","3","30","1600","2"
"800","1","4","40","800","0"
"1800","2","4","40","1000","0"
"3000","3","4","40","1200","0"
"4400","4","4","40","1400","1"
"6000","5","4","40","1600","2"
"0","0","5","0","0","0"
