5ebf98d5305dd987855723d6e49553992409528ef05b1fcf81e0792fc10bdfc3,b98a0d841cf51b313dcbcfb6f1f260759ca193cc0f13626f5cf4a96854a4414a,2ed5e5bd22f20fee5406ae2b62232dddcb2fa6611ce62091af2d45df299c6745,67bb98c2ac399cbed93eea2d51ff19254ca05f901534aaa188e9db2eb71f6ee5,f2fa6c2b05ac01711fc236dc67ca1c18c7867ac11e7189637c096407050468ac,846b6d96106bc48afb1a073edc99ea44a7c58abfa577fbb7df5431c31994991e
"78100111","0","0","0","781001111","0"
"78100112","0","0","0","781001121","0"
"78100113","0","0","0","781001131","0"
"78100114","0","0","0","781001141","0"
"78100115","0","0","0","781001151","0"
"78100121","0","0","0","781001211","0"
"78100122","0","0","0","781001221","0"
"78100123","0","0","0","781001231","0"
"78100124","0","0","0","781001241","0"
"78100125","0","0","0","781001251","0"
"78100131","0","0","0","781001311","0"
"78100132","0","0","0","781001321","0"
"78100133","0","0","0","781001331","0"
"78100134","0","0","0","781001341","0"
"78100135","0","0","0","781001351","0"
