93270515ab5e4b9d3cebeb1d4eef647819b2fe1f0a3bbd460f5622f0e936ce62,716467ff4f429ac294ec64d687d2b355a9a83749748c791da0ba62b7d9163f08,46a7d6bb12bf4791cddf7caa569ec31b573f754730b1a2df4e8d45e25bc6ee4b,c23fbf146f85f7cb4713069d11929f584513172710875225bf7248e6e0d5cfb3
"1","1","11","0"
"1","1","12","0"
"1","1","13","11002002"
"1","1","14","11003005"
"1","1","15","11002012"
"1","2","16","0"
"201","0","201","0"
"2000","0","203","0"
"2000","0","204","0"
"2000","0","205","0"
"206","0","206","0"
"207","0","207","0"
"301","0","301","0"
