93270515ab5e4b9d3cebeb1d4eef647819b2fe1f0a3bbd460f5622f0e936ce62,716467ff4f429ac294ec64d687d2b355a9a83749748c791da0ba62b7d9163f08,c23fbf146f85f7cb4713069d11929f584513172710875225bf7248e6e0d5cfb3,46a7d6bb12bf4791cddf7caa569ec31b573f754730b1a2df4e8d45e25bc6ee4b
"1","1","0","11"
"1","1","0","12"
"1","1","11002002","13"
"1","1","11003005","14"
"1","1","11002012","15"
"1","2","0","16"
"201","0","0","201"
"2000","0","0","203"
"2000","0","0","204"
"2000","0","0","205"
"206","0","0","206"
"207","0","0","207"
"301","0","0","301"
