bf4dd306079e7087ed3691ac522b1a3ebe92ba955d1630eba2a818fc42c98db0,98ecaeff96eea6b1a4b7dbb70fdb9d198d0bb5128bebd3e4241270206b07e5c0,c7955fa5c4221b8d8fba283a0ffa3d8dafb181917faf4e788676b76ea1a533b6,ba25344b33b751959327342dcd3151a7cb7cec342137c2254af993d4a512f461
"2500","1","1","1"
"2000","2","1","2"
"2000","107","1","3"
"2000","4","1","4"
"1000","3","1","5"
"1000","110","1","6"
"1000","5","1","7"
"2000","6","1","8"
"2000","105","1","9"
"2000","7","1","10"
"0","1000","3","11"
"20","100","1","12"
"1000","108","1","13"
"20","101","1","14"
"5","102","1","15"
"1000","109","1","16"
"5","103","1","17"
"500","1","1","18"
"0","2000","2","19"
"500","1","1","20"
"0","25","5","21"
"3000","2","1","22"
"3000","107","1","23"
"3000","4","1","24"
"1500","3","1","25"
"1500","110","1","26"
"1500","5","1","27"
"3000","6","1","28"
"3000","105","1","29"
"3000","7","1","30"
"0","1","6","31"
"30","100","1","32"
"1500","108","1","33"
"30","101","1","34"
"10","102","1","35"
"1500","109","1","36"
"10","103","1","37"
"500","1","1","38"
"0","3000","2","39"
"500","1","1","40"
"0","50","4","41"
"1000","2","1","42"
"1000","107","1","43"
"1000","4","1","44"
"500","3","1","45"
"500","110","1","46"
"500","5","1","47"
"1000","6","1","48"
"1000","105","1","49"
"1000","7","1","50"
"2500","1","1","51"
"10","100","1","52"
"500","108","1","53"
"10","101","1","54"
"3","102","1","55"
"500","109","1","56"
"3","103","1","57"
"250","1","1","58"
"0","1000","2","59"
"250","1","1","60"
"0","101","7","61"
"2000","2","1","62"
"2000","107","1","63"
"2000","4","1","64"
"1000","3","1","65"
"1000","110","1","66"
"1000","5","1","67"
"2000","6","1","68"
"2000","105","1","69"
"2000","7","1","70"
"0","5000","2","71"
"20","100","1","72"
"1000","108","1","73"
"20","101","1","74"
"5","102","1","75"
"1000","109","1","76"
"5","103","1","77"
"500","1","1","78"
"0","2000","2","79"
"500","1","1","80"
"0","2000","3","81"
