0a6db00bbe8b8b7ffc1227c75f38f094cab857650c05d57ff2934c47afa29b90,3a2d6a0166aea947773ae8eee16eaf7f68a8a60b2d554937f45fdc70881296e2,4fc760c406def07aadc62a197f8e7d9ba99e55ad58c8cfdf74c914264b68c438,3b2be0a0f4303a26dfe6098613e6d9f8068c5e0cf7113e7598ae4b07492e89d8,60cb080aa48c15276044527e48fbdbe8f3c787ff83f07e6cb8dcf899aeb70614,a390de9c2c9f0de85b6ee6217f86675e118bb2326dd0193777a108d5cf22c28f,c67371a128eb5715d54bdaa11903c54350ce1549734e7281257150c964f5ffb3
"94002","50000","5126700","累計スコアを2500pt 獲得しよう","2500","12","1"
"94002","50000","0","累計スコアを5000pt 獲得しよう","5000","12","1"
"94002","50000","0","累計スコアを7500pt 獲得しよう","7500","12","1"
"2839","1","5126701","累計スコアを10000pt 獲得しよう","10000","7","1"
"94002","80000","0","累計スコアを12500pt 獲得しよう","12500","12","1"
"94002","80000","0","累計スコアを15000pt 獲得しよう","15000","12","1"
"94002","80000","0","累計スコアを17500pt 獲得しよう","17500","12","1"
"91002","25","5126702","累計スコアを20000pt 獲得しよう","20000","8","1"
"94002","100000","0","累計スコアを22500pt 獲得しよう","22500","12","1"
"94002","100000","0","累計スコアを25000pt 獲得しよう","25000","12","1"
"91002","100","0","累計スコアを27500pt 獲得しよう","27500","8","1"
"11001262","1","5126703","累計スコアを30000pt 獲得しよう","30000","15","1"
"94002","50000","5126710","累計スコアを2500pt 獲得しよう","2500","12","2"
"94002","50000","0","累計スコアを5000pt 獲得しよう","5000","12","2"
"94002","50000","0","累計スコアを7500pt 獲得しよう","7500","12","2"
"2840","1","5126711","累計スコアを10000pt 獲得しよう","10000","7","2"
"94002","80000","0","累計スコアを12500pt 獲得しよう","12500","12","2"
"94002","80000","0","累計スコアを15000pt 獲得しよう","15000","12","2"
"94002","80000","0","累計スコアを17500pt 獲得しよう","17500","12","2"
"91002","25","5126712","累計スコアを20000pt 獲得しよう","20000","8","2"
"94002","100000","0","累計スコアを22500pt 獲得しよう","22500","12","2"
"94002","100000","0","累計スコアを25000pt 獲得しよう","25000","12","2"
"91002","100","0","累計スコアを27500pt 獲得しよう","27500","8","2"
"11001263","1","5126713","累計スコアを30000pt 獲得しよう","30000","15","2"
