8c41ed3df3bde52aefbeeb1fd8da01c0256c0e16a89c47e3f4e4080e05694ec5,59ab828ba2a4d2c7817c3613a049326db75ce61c610462d432088cd551d2519b,9503e06e4ff4b66e3eea9b1779c63aa5e79094b92f2ea3cd77fb24772774f4a3,f154ef6bcc5c19fd9f948b5abbba97748ec6c7e80212afe4c0b93f87ecf2d866,2480f257cd2d9bda3e10103f892ce4d901503ea0bef50f40db0f3f87f0837887,fcac88ba1b36980605cc01bcd05f98a44307cba3d959f7586c78fd7365f44a09
"1","1101","0","20025","0","1"
"1","1102","0","20025","0","1"
"1","1103","1","20025","5042002","0"
"1","1104","0","20025","0","1"
"1","1105","1","20025","5042003","0"
"1","1106","0","20025","0","1"
"1","1107","2","20025","5042005","0"
"2","1201","1","20025","5042007","0"
"2","1202","2","20025","5042007","0"
"2","1203","0","20025","0","1"
"2","1204","0","20025","0","1"
"1","1301","0","20025","0","0"
