f2c8ef9fa3ea7e6e17137f59e549a156b995a901e14fc759322302691b11f4ee,eb160e972df181a6087364a16d95db3f644e6a51f128d2fbd9c2d9719c153efb,77dfba8711b5c696bb43aab999bc4eaafd71d67762edb61d0746d325cefa30e2,74a2cdd6f2a2cc6cad07388971569af51afdd93994845a3c8faef9ff344d0286,752ab346b8ee7ed53d3c11d079e55d0cbc9e297a31ec9330b32c1e6f6bf2e134,c1d141b148a231babf151f3f8cbc3bc54e60046d81af8c609c4c77997c909a68,846fb8139cc4d2443c10b39096c7d5367a7a8b445c9a42c06db9eb8b17fa81a2,af6aee4c005ac65c73d6f862b09ba569d06b1f894dbfc53d9994c784d50ac502,afec10bb35dcbc6a0baf5eccf750d4a93afbc6b112fecbb1d5c37c8272da8c7b
"全プレイヤーでバンディ・シスターズを合計500,000回倒そう","1","32000101","1002","32000101","1","1010","7008","500000"
"全プレイヤーでバンディ・シスターズを合計750,000回倒そう","1","32000102","1002","32000102","2","1010","7008","750000"
"全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","1","32000103","1002","32000103","3","1010","7008","1000000"
"全プレイヤーでフレイヤを合計500,000回倒そう","1","32000104","1003","32000104","4","1010","7008","500000"
"全プレイヤーでフレイヤを合計750,000回倒そう","1","32000105","1003","32000105","5","1010","7008","750000"
"全プレイヤーでフレイヤを合計1,000,000回倒そう","1","32000106","1003","32000106","6","1010","7008","1000000"
"全プレイヤーでアラクネを合計1,000,000回倒そう","0","32000107","1004","32000107","7","1010","7008","1000000"
"全プレイヤーでアラクネを合計1,500,000回倒そう","0","32000108","1004","32000108","8","1010","7008","1500000"
"全プレイヤーでアラクネを合計2,000,000回倒そう","0","32000109","1004","32000109","9","1010","7008","2000000"
"宝石蜘蛛の群れに1回挑戦しよう","1","32000110","1001","32000110","10","1009","7007","1"
"バンディ・シスターズを1回倒そう","1","32000111","1002","32000111","11","1009","7007","1"
"フレイヤを1回倒そう","1","32000112","1003","32000112","12","1009","7007","1"
"アラクネを1回倒そう","0","32000113","1004","32000113","13","1009","7007","1"
