365acc86dcb90a3e878f403746d22177c38e228beb82322d5e04a67f8220c03a,a8600f93d1518a69f86db626d5fea49ff1a3cff6ad6aae67c1af82e74ef96185,8f92d283c6efbfe7cd595e881a6986f8ad2147dda609e57dd59929e3c6f6ee88,ed23bb32486711b58c220a09a9bd457f827c77e926ba654b2a2eae872d87cd57
"0","10146","1014601","0"
"0","10148","1014801","0"
"0","10150","1015001","0"
"0","10152","1015201","0"
"5154007","10154","0","0"
"0","10169","1016901","0"
"0","10170","1017001","0"
"0","10171","1017101","0"
"0","10172","1017201","0"
"5154007","10173","0","0"
"0","20077","2007701","0"
"0","20078","2007801","0"
"0","20079","2007901","0"
