46d9d4dc97945d0c1de9ff69823fc5776e357bdb2e623ab0f17afbdcac687cff,9c24756a858fbf66f7ec9026bd41d7026861512dd0c4f0cd9500851ff1f7fb65,4e1ab85899a8e78a3d1701524eb2b3c9b07e1320fcfb00a0aa9bcc910265fa0b,0635f2e20e2abf014eb5ba3ff39cf8d3f402c1e7077997f1824362a8cdbbdd61,19ca885c56205f32cf8a43916c7bdc1736926cf8ba3f9e630afe1880e14a8b35,2012a8579c1671c9e07860b2f9f29f6ef9636cde72c2ab81f99f69930fcaeed4,fcd980e1649f66900f8b2e632382136808581993655040174b1063c883df98b8
"50","100","150","1004","250","200","1"
"80","160","240","1004","400","320","2"
"50","100","150","1004","250","200","3"
"50","100","150","1004","250","200","5"
"80","160","240","1004","400","320","6"
"1","1","1","1004","3","2","12"
"50","100","150","1005","250","200","1"
"50","100","150","1005","250","200","3"
"80","160","240","1005","400","320","4"
"50","100","150","1005","250","200","5"
"80","160","240","1005","400","320","7"
"1","1","1","1005","3","2","13"
"25","50","75","1010","125","100","1"
"40","80","120","1010","200","160","2"
"25","50","75","1010","125","100","3"
"25","50","75","1010","125","100","5"
"40","80","120","1010","200","160","6"
"25","50","75","1011","125","100","1"
"25","50","75","1011","125","100","3"
"40","80","120","1011","200","160","4"
"25","50","75","1011","125","100","5"
"40","80","120","1011","200","160","7"
"100","200","300","1006","500","400","1"
"50","100","150","1006","250","200","2"
"100","200","300","1006","500","400","3"
"100","200","300","1006","500","400","5"
"50","100","150","1006","250","200","6"
"1","1","1","1006","3","2","12"
"100","200","300","1007","500","400","1"
"100","200","300","1007","500","400","3"
"50","100","150","1007","250","200","4"
"100","200","300","1007","500","400","5"
"50","100","150","1007","250","200","7"
"1","1","1","1007","3","2","13"
"50","100","150","1012","250","200","1"
"80","160","240","1012","400","320","2"
"50","100","150","1012","250","200","3"
"50","100","150","1012","250","200","5"
"80","160","240","1012","400","320","6"
"1","2","3","1012","5","4","12"
