08c7296c4403130b7111e3a02a36fcf5685d526c4ec2b8868bd945dce218f345,622beb81994b89889c7ccb52f645a40e1165794c63b833e8b4d77d1b3dc5f3a7,ba506c36af57ca793fd20117b179da538a6a7ac949be4dfed134b3710a901697,6cd2e6ad678bda015705e43ed40f3a4c3c76c85e643cdc754369fa521d20681b,7a3a4bb94c8b7440817670f2e9b83452bfa45507395e0197c5f3dde5df3c1708,d5697ebad73115155fa84f5fd4837c9d981aa4141ec7ce350ad0410df9a20d8f,e101e895944819155a0bef1c5bab0715a8a4ed05f2c3eb9e6f6eed3032f06262,529a2e0b737bbd3cda7bcee9de4abbcb3e8d397bae354f50d46ef581806b6d7d,ab6689901b8aba5d6933c13e4f9804a4f329ec465e8ad200ac4f72a49ee8299e,3ac76bcd7d3b57e1bfba36c8390f11070a75efd4a3730d0d89c40661c1e08359,e1f391da3eb1cf41928a832d18e8e467232cb647301d5dcd42ba98083b43db05,229ca68e86d660658a553a8a2cf3a0738cfb7a50ed611241b2a2041e143e98d7
"5.5","10201201","0","0","5","1","5201321","0","1","610201102","5201322","70"
"1.5","10201201","3","15","5","2","0","600","3","610201103","5201323","0"
"1.5","10201201","0","0","5","3","0","0","1","610201104","0","0"
"5.5","10201501","0","0","5","1","0","0","1","610201105","0","70"
"1.5","10201501","3","15","5","2","0","600","3","610201106","0","0"
"1.5","10201501","0","0","5","3","0","0","1","610201107","0","0"
"5.5","10201251","3","0","5","1","5201331","600","2","610201152","5201332","0"
"1.5","10201251","0","0","5","2","0","0","1","610201153","5201333","65"
"1.5","10201251","0","0","5","3","0","0","1","610201154","0","0"
"5.5","10201551","3","0","5","1","0","600","2","610201155","0","0"
"1.5","10201551","0","0","5","2","0","0","1","610201156","0","65"
"1.5","10201551","0","0","5","3","0","0","1","610201157","0","0"
"5.5","10202201","3","0","5","1","5202321","600","2","610202102","5202322","0"
"1.5","10202201","0","0","5","2","0","0","1","610202103","5202323","70"
"1.5","10202201","0","0","5","3","0","0","1","610202104","0","0"
"5.5","10202501","3","0","5","1","0","600","2","610202105","0","0"
"1.5","10202501","0","0","5","2","0","0","1","610202106","0","70"
"1.5","10202501","0","0","5","3","0","0","1","610202107","0","0"
