270b087b2b842e2e025ba51d8bd6b43f6f20b5e14add82ac7bdae069f38b74ab,9e85e15497b510fad823ea8e4b65cf967499f40b931c46457801795104a53eeb,e8fc29a9f5202596fd8f1b1c0c1419e5b60ded31a07dfa85a60bbfa507ed1600
"1","1","30007"
"2","1","30008"
"3","2","30012"
"4","2","40001"
"5","2","30014"
"6","3","30022"
"7","3","50023"
"8","3","30024"
"9","4","30026"
"10","4","50027"
"11","4","30028"
"12","5","30028"
"13","5","30029"
"14","5","30030"
"15","6","30044"
"16","6","40002"
"17","6","30046"
"18","6","50047"
"19","7","30059"
"20","7","30060"
"21","7","50061"
"22","8","30066"
"23","8","50067"
"24","8","30068"
"25","8","30069"
"26","9","30075"
"27","9","30076"
"28","10","30091"
"29","10","40003"
"30","10","30093"
"31","10","50094"
"32","11","30102"
"33","11","30103"
"34","12","30103"
"35","12","30104"
"36","13","30106"
"37","13","30107"
"38","13","50108"
"39","13","30109"
"40","14","30109"
"41","14","30110"
"42","14","30111"
"43","14","30112"
"44","15","30114"
"45","15","40004"
"46","15","30117"
"47","15","30118"
"48","15","50119"
"49","16","50119"
"50","16","30120"
"51","16","30121"
"52","16","30122"
"53","16","30123"
"54","17","50129"
"55","17","30130"
"56","18","30148"
"57","18","40005"
"58","18","30150"
"59","18","50151"
"60","19","50151"
"61","19","30152"
"62","19","30153"
"63","19","30154"
"64","19","40006"
"65","19","30156"
"66","19","30157"
"67","20","50162"
"68","20","30163"
"69","21","30163"
"70","21","30164"
"71","21","30166"
"72","21","30167"
"73","22","30170"
"74","22","30171"
"75","22","50172"
"76","22","30173"
"77","23","30173"
"78","23","30174"
"79","23","30175"
"80","23","30176"
"81","23","30177"
"82","24","30179"
"83","24","40007"
"84","24","30182"
"85","24","50183"
"86","25","50183"
"87","25","30184"
"88","25","30186"
"89","25","30187"
"90","25","30188"
"91","25","30189"
"92","26","30194"
"93","26","50195"
"94","26","30196"
"95","27","30213"
"96","27","40008"
"97","27","30215"
"98","27","30216"
"99","27","50217"
"100","28","30224"
"101","28","30225"
"102","28","30226"
"103","28","30227"
"104","29","30235"
"105","29","30236"
"106","29","50237"
"107","29","30238"
"108","30","30244"
"109","30","40009"
"110","30","30247"
"111","30","50248"
"112","31","30256"
"113","31","30257"
"114","31","30258"
"115","32","30274"
"116","32","40010"
"117","32","30276"
"118","32","30277"
"119","32","50278"
"120","33","30286"
"121","33","30287"
"122","33","30288"
"123","34","30295"
"124","34","30296"
"125","34","30297"
"126","34","50298"
"127","34","30299"
"128","35","40011"
"129","35","30308"
"130","35","50309"
"131","36","30319"
"132","36","30320"
"133","36","50321"
"134","37","30339"
"135","37","40012"
"136","37","50341"
"137","37","30342"
"138","37","30343"
"139","38","30363"
"140","38","30364"
"141","38","50365"
"142","38","30366"
"143","39","30370"
"144","39","40013"
"145","39","30374"
"146","40","30381"
"147","40","30382"
"148","40","50383"
"149","41","30401"
"150","41","40014"
"151","41","30404"
"152","41","50405"
"153","42","30422"
"154","42","30423"
"155","42","50424"
"156","42","30426"
"157","43","30432"
"158","43","40015"
"159","43","50435"
