ac80efa3b67153f4f7a95a08abc94a9cb18e1789bdd3c92fc118374485a9f6de,9a50a7997a728d3b0a225748d73710d743da5133142d51d9b91c711684fb81d4,e2148488292b71bd72473906ee9a7fac9d94c10d71cb609293fca9e47f2b64db,1a5bb2a2fe5b2303f4d793ebcf13ce77ba1d66aac08e3b4e104baad231b08b42,503ac0cdf69c87d28e9d59c3d454a3ec175892869a5bd9d20e0bcc360c90a5f2,02573bfd2e7afedfa7ba87f246d28a73260e9e6bb3b99b527f2886a34422ed6e,290767624241b083242604b69c487cd783c1c31a25a565991333750a1040b11c,aa6bf021bdd024a232338d221fde7223330bd72ea445d6073d32c59226ff3d14,58222f74cffec47579ca72adacf62f501f6281954f7380fe683ab14f760532f5,62a2fb3845fdcd9c3ea2705dbea99444c9193d62072a588eab623ccac4405d70,dae770be242877c44c5ab7b9231475721f2d7f80a99bd3bae34810edf5369dfd
"0","2","5","50","-622","2","empty","10001","0.65","10001001","0"
"0","1","5","51","-622","1","empty","10001","0.65","10001002","0"
"1","2","6","1","0","1","","10001","0","10001003","0"
"1","1","6","1","0","1","","10001","0","10001004","0"
"0","10001","31","0","1","10001","","10001","0","10001005",""
"","0","91","","","0","","10001","","10001006",""
"1","2","6","1","1","1","","10001","0.2","10001007","0"
"1","1","6","1","1","1","","10001","0.2","10001008","0"
"0.3","2","2","-472","14","0","","10001","","10001009","0"
"0.3","1","2","-472","14","0","","10001","","10001010","0"
"","2","3","0","","limitedMission_congratulations","","10001","0","10001011",""
"","1","3","0","","limitedMission_congratulations","","10001","0","10001012",""
"","10001","32","","","1","","10001","","10001013",""
"","3","93","","","0","","10001","","10001014",""
"1","2","6","1","0","1","","10001","0.2","10001015","0"
"1","1","6","1","0","1","","10001","0.2","10001016","0"
"","0.2","93","","","0","","10001","","10001017",""
