68b7294f7937600a135757b09095a9b714cf8fd9a3639928e5a0cf081f392d22,fc16f31822c38247add8062280a627855f3efd79e31dbcfc6d9c2b56820750c5,c493e45533c123fe5681f5254611c32e1d6915cb394e4934f905d0815d9a1b1b,2d99cd220afc2d348dfcdd4bbe8cfb72e2f687bc2d258d2dece1946056687890
"1.6","100101","938","-354"
"1.6","100201","952","-499"
"1.6","100301","1014","-523"
"1.6","100401","894","-488"
"1.6","100601","980","-628"
"1.6","100701","983","-573"
"1.6","100801","1019","-544"
"1.6","100901","985","-510"
"1.6","101001","1115","-660"
"1.6","101101","1128","-415"
"1.6","101201","1042","-589"
"1.6","101601","1050","-501"
"1.6","101701","1038","-598"
"1.6","101801","985","-356"
"1.6","102001","1114","-494"
"1.6","102101","1003","-392"
"1.6","102201","1057","-407"
"1.6","102501","997","-388"
"1.6","102701","1090","-490"
"1.6","102801","987","-554"
"1.6","102901","976","-526"
"1.6","103001","994","-879"
"1.6","103101","1056","-560"
"1.6","103301","1018","-453"
"1.6","103401","1017","-345"
"1.6","103801","961","-674"
"1.6","104001","1095","-499"
"1.6","104201","955","-521"
"1.6","104301","1079","-581"
"1.6","104501","980","-538"
"1.6","104601","954","-364"
"1.6","104801","1107","-777"
"1.6","104901","973","-795"
"1.6","105001","1122","-492"
"1.6","105201","1035","-607"
"1.6","105301","885","-490"
