8b4a4ecbc8d0aa3138abea01629125b2f053fd3bd5727fab172d3bad98e5579e,042aeb96dc90fd96e704dafd2ff025355b9d814898b2ec78cc1687fec04941f3,e39a5ce1ca1ffa5529d6fe169b9fafded2bb92e9ba34faf624b1ef14c04e929f,9fad9681fdfb60f7389eb43e264c678aa7e0fd31a2b6e2abc95d321ffed82732,a16c7700da04b9394d6806e7c243b27c2e35d8aa21f585772cfa7050ab5905bc,5a3e7443656aba1da566c5b9f5a46938c25f3eda9177442cfbe3bc7409b697dd
"0","","1","100","2","200"
"2","","2","101","300","200"
"7","","200","200","100207","201"
"6","","201","200","100206","100900"
"0","","300","300","302","301"
"0","","301","301","100301","302"
"1","","302","200","303","100910"
"2","","303","200","100201","100910"
"0","201","100201","0","0","0"
"0","206","100206","0","0","0"
"0","207","100207","0","0","0"
"0","301","100301","0","0","0"
"0","1","100900","300","0","0"
"0","1","100901","0","0","0"
"0","1,2000","100910","0","0","0"
