1b11678c3c4b1acb14eb3b3820b548b331fd7e5c9f9eb342a59b6c722bd67a30,44081a4d91e3466b3eb07251b5316eb5ecc5e215caea3077ede9d2ae3a8e303c,68861368fcd01bb408f0ecee24e0cae6677fe24ee92890b96b91cf35a6c11ce2,62cbfd6460d4f6223dec0c69fe8b751479935d62e0544308ae14dbc88bd9b496,5cb1067f8705a66cd619b04b689ca2db555aaf9565bf7427652dd225230c2db9,f1b96b3eb3b7993a4d920b901b087053540677c7aa9d58981b30b6f37c10faec,ea65784590eae946edc7bb16aad87de252d2986f11f9e8f5592695d4e35da6d9
"1","","0","10008101","0","1","10008111"
"2","","0","10008112","0","1","10008115"
"3","","0","10008101","0","3","10008103"
"4","","0","10008105","0","3","10008115"
"5","","0","10008112","0","4","150"
"6","","0","10028101","0","1","10028111"
"7","","0","10028112","0","1","10028115"
"8","","0","10028101","0","3","10028103"
"9","","0","10028105","0","3","10028115"
"10","","0","10028112","0","4","150"
"11","","0","20012104","20012107","11","20012104"
"12","","0","20012108","20012109","11","20012108"
"13","","0","20012110","20012114","11","20012110"
"14","","0","20012115","20012115","11","20012115"
"15","","0","20012110","0","4","120"
"16","","0","20008101","0","1","20008111"
"17","","0","20008112","0","1","20008115"
"18","","0","20008101","0","3","20008103"
"19","","0","20008105","0","3","20008115"
"20","","0","20008112","0","4","150"
