5ae14b167248dd563e0e3b77cc71e7012712ed5960d625fbd386dc2d630c0960,6ddcf0d7c6b35cea0fee97c32bb43dde0869ae40377b0a63436c7a409e2f7a7a,20ce866fb2b2ddc802043ef6d62ad975de95eab3fbbae65b1c2a5c975f62480d,47b3fd663bf5c3661f7411ddd79e7c99d6de26e80f7d57a4958cb5c952cb9d90,f2ff70130884b663446235c0e2fa3c712256950988d3b29e18d1be4e38d31d0e,5b74b180e790f7cdf07b74eb1421f1793a14f2aa5feea2fa1eb8f921440cc891,8d6178931e2a51709919a708100413536b34ba5c903d94192028cdf287de94b7,926b73ba7549222053699e0894819c11b09aff64f45d5cbd2df5c514b3827189,e1e6129478ea5030d9b8d1c2973d8954a4f7d034ce4b7f02295a926c2165e8c8,517ae7849fa3497f469ff79657789d465c51eee946661c903a15f560561cb0d7
"0","102231","bgm_M301","102231","1","bgm_M301","記憶領域1層","-100","0","75000001"
"0","81002102","bgm_M248_02","81002102","1","bgm_M248","記憶領域2層","0","0","75000002"
"0","102241","bgm_M301","102241","1","bgm_M301","記憶領域3層","-100","0","75000003"
"0","81002502","bgm_M268","81002502","1","bgm_M268","記憶領域4層","0","0","75000004"
"0","102881","bgm_M502","102881","1","bgm_M502","記憶領域5層","-100","0","75000005"
"0","81004602","bgm_M397","81004602","1","bgm_M397","記憶領域6層","0","0","75000006"
"0","102871","bgm_M503","102871","1","bgm_M503","記憶領域7層","-100","0","75000007"
"0","81009002","bgm_M577","81009002","1","bgm_M577","記憶領域8層","0","0","75000008"
"0","102251","bgm_M301","102251","1","bgm_M301","記憶領域9層","-100","0","75000009"
"0","102861","bgm_M505","102861","1","bgm_M505","記憶領域10層","-100","0","75000010"
"0","81010002","bgm_M621","81010002","1","bgm_M621","記憶領域11層","0","0","75000011"
"0","81000605","bgm_M504","81000605","1","bgm_M504","記憶領域12層","-100","0","75000012"
