a7bbbfe2f2d64bbe9aab3a0d128adca433052000f0b00591af74de6de9388804,efc0845cc502ece4a8da1518ae9594ae690a4504bbff8722ac0c5933d70c06ec,9ec2bc434ae5e6491cbae507422a65a9695ce866f951849be0b4da118003c865,a024c1141a21c44908bdba13a22e617510b0f6c0ac4255bf5bb1681b8f1a99fa,f1dd4b417e468f4edfc83caddfac3cdf28585871664839b084e9ad38905ea487
"8000000","1001","94002","12","1"
"40","1001","90005","2","2"
"8000000","1002","94002","12","3"
"50","1002","90005","2","4"
"8000000","1003","94002","12","5"
"60","1003","90005","2","6"
"8000000","1004","94002","12","7"
"70","1004","90005","2","8"
"150","1005","91002","8","9"
"8000000","1005","94002","12","10"
"80","1005","90005","2","11"
"8000000","1006","94002","12","12"
"90","1006","90005","2","13"
"300","1007","91002","8","14"
"8000000","1007","94002","12","15"
"100","1007","90005","2","16"
"8000000","2001","94002","12","17"
"8000000","2002","94002","12","18"
"8000000","2003","94002","12","19"
"8000000","2004","94002","12","20"
"8000000","2005","94002","12","21"
"8000000","2006","94002","12","22"
"8000000","2007","94002","12","23"
"8000000","2008","94002","12","24"
"8000000","2009","94002","12","25"
"8000000","2010","94002","12","26"
"8000000","2011","94002","12","27"
"8000000","2012","94002","12","28"
"8000000","2013","94002","12","29"
"8000000","2014","94002","12","30"
"8000000","2015","94002","12","31"
"8000000","7001","94002","12","32"
"5","7001","90005","2","33"
"8000000","7002","94002","12","34"
"5","7002","90005","2","35"
"8000000","7003","94002","12","36"
"5","7003","90005","2","37"
"8000000","7004","94002","12","38"
"10","7004","90005","2","39"
"8000000","7005","94002","12","40"
"10","7005","90005","2","41"
"8000000","7006","94002","12","42"
"10","7006","90005","2","43"
"8000000","7007","94002","12","44"
"15","7007","90005","2","45"
"8000000","7008","94002","12","46"
"15","7008","90005","2","47"
"8000000","7009","94002","12","48"
"15","7009","90005","2","49"
"8000000","7010","94002","12","50"
"20","7010","90005","2","51"
"8000000","7011","94002","12","52"
"20","7011","90005","2","53"
"8000000","7012","94002","12","54"
"20","7012","90005","2","55"
"8000000","7013","94002","12","56"
"25","7013","90005","2","57"
"8000000","7014","94002","12","58"
"25","7014","90005","2","59"
"8000000","7015","94002","12","60"
"25","7015","90005","2","61"
"8000000","7016","94002","12","62"
"30","7016","90005","2","63"
"8000000","7017","94002","12","64"
"30","7017","90005","2","65"
"8000000","7018","94002","12","66"
"30","7018","90005","2","67"
"8000000","7019","94002","12","68"
"35","7019","90005","2","69"
"8000000","7020","94002","12","70"
"35","7020","90005","2","71"
"8000000","7021","94002","12","72"
"35","7021","90005","2","73"
"8000000","7022","94002","12","74"
"40","7022","90005","2","75"
"8000000","8001","94002","12","76"
"1000","8001","90008","2","77"
"8000000","8002","94002","12","78"
"1250","8002","90008","2","79"
"8000000","8003","94002","12","80"
"1500","8003","90008","2","81"
"8000000","8004","94002","12","82"
"1750","8004","90008","2","83"
"8000000","8005","94002","12","84"
"2000","8005","90008","2","85"
"8000000","8006","94002","12","86"
"2250","8006","90008","2","87"
"8000000","8007","94002","12","88"
"2500","8007","90008","2","89"
"50","9001","80001","2","90"
"50","9002","80002","2","91"
"50","9003","80003","2","92"
"50","9004","80004","2","93"
"50","9005","80005","2","94"
