2610be2f38092e6a58aeba3060b2bf739510f6386eae164ac99f9273af78f5b8,2f30c8824baf9904bba750474b2c41b4d570fc57da0d6b6a401083ab42f3ae4a,18f83f36ac58ec370c06ffdb29ad98eca2bb44955f2b3e631bd6ee22444427c5,76bef5f3a16b6dd8213a970dd4af81aa81740bc018dd15986d99bdb71a458ae9,2df8f896a58dfce0fff0d969d66da551a6afc122f45b43e04d3241b2c35d0f93
"25011","2","32000101","1000","320001011"
"25012","2","32000101","1000","320001012"
"25013","2","32000102","1000","320001021"
"25014","2","32000102","1000","320001022"
"91002","8","32000103","1000","320001031"
"94002","12","32000103","3000000","320001032"
"25015","2","32000103","1000","320001033"
"25021","2","32000103","1000","320001034"
"25013","2","32000104","1000","320001041"
"25014","2","32000104","1000","320001042"
"25012","2","32000105","1000","320001051"
"25015","2","32000105","1000","320001052"
"91002","8","32000106","1000","320001061"
"94002","12","32000106","3000000","320001062"
"25011","2","32000106","1000","320001063"
"25021","2","32000106","1000","320001064"
"25014","2","32000107","1000","320001071"
"25015","2","32000107","1000","320001072"
"25011","2","32000108","1000","320001081"
"25013","2","32000108","1000","320001082"
"91002","8","32000109","1000","320001091"
"94002","12","32000109","3000000","320001092"
"25012","2","32000109","1000","320001093"
"25021","2","32000109","1000","320001094"
"25011","2","32000110","3000","320001101"
"25012","2","32000110","3000","320001102"
"25013","2","32000110","3000","320001103"
"25014","2","32000110","3000","320001104"
"25015","2","32000110","3000","320001105"
"25011","2","32000111","3000","320001111"
"25012","2","32000111","3000","320001112"
"25013","2","32000111","3000","320001113"
"25014","2","32000111","3000","320001114"
"25015","2","32000111","3000","320001115"
"25011","2","32000112","3000","320001121"
"25012","2","32000112","3000","320001122"
"25013","2","32000112","3000","320001123"
"25014","2","32000112","3000","320001124"
"25015","2","32000112","3000","320001125"
"21953","2","32000113","1","320001131"
"25021","2","32000113","2000","320001132"
