4781783abb523c73187972bd6eb08af2d435d5d198af922355285bf970dba4fa,d020053e6588866678cf2e465db2358f7f84eb36c488196d06bb4b38e918b13c,8994c10acaf7862824774a90d2ddce87be7aa96df66508d117e0b6aa194ea2f9,ee8e14c55efafdda9ee17626428f92e445deb2a1c9840f94aaa5410529544d8b,f6edc2a842f69020d89c9a8b82a85fd3d5e6f7c3ef0a80f7c24d2804185051f5,c8d8ddce34cc653a1721029ca8e5bd44490ffd2caf80e716e1bb64c12f1ce71a,c1603f69d53cdfe859c71ee7b7cd6e7a581adb654da62f26d1eeb064293d09af,08c8f78494680329b333d35f9331e6eb903f880f1c8e3275cf75c8acc47edff8,2f74d963aef87fcda9ad9f761c4bd88505e3d0cea958220e82f4f30db9bedede,02a731bf1aa07d8f6996564460ac0ed452016eeaf3a133996fcac451ed330f93,f4adb5c3cda94c3098036c54056cc06b3c6f86396796ea54ffd44b3ff172c167,db9808e687dc4dfe58b9389ada5ea0d68609178c7cba3a31d25b2f43f2ceb358,cbd81e59465fd0a11c72bfd448d71ef137a2ae946b72c624047bb3d4a6a3133c,6009a672893e8050c991c7996c82b1afeea2777183a40c808d3a294586ed8403,4a4e97279bf23060636c5ef64ea11e249c0de61736f2e61b6ccd91bc93345db4,1ffff60012f39b21f2e6edfded7f1e171eed3755432797688d7e4fc13ed096f0
"0","12","0","1","1","20000","0","プリンを15種類食べよう","0","0","0","0","0","0","94002","15"
"0","12","0","2","1","30000","0","プリンを30種類食べよう","0","0","0","0","0","0","94002","30"
"0","8","0","3","1","50","0","プリンを40種類食べよう","0","0","0","0","0","0","91002","40"
"0","12","0","4","1","50000","0","プリンを50種類食べよう","0","0","0","0","0","0","94002","50"
"0","8","0","5","1","50","0","プリンを55種類食べよう","0","0","0","0","0","0","91002","55"
"0","12","0","6","1","100000","0","プリンを60種類食べよう","0","0","0","0","0","0","94002","60"
"0","15","8","7","1","1","0","プリンを全66種類食べよう","0","0","91002","100","0","0","11001164","66"
"0","12","0","8","2","50000","0","プリンノートを25％コンプリートしよう","0","0","0","0","0","0","94002","25"
"0","8","0","9","2","50","0","プリンノートを50％コンプリートしよう","0","0","0","0","0","0","91002","50"
"0","12","0","10","2","100000","0","プリンノートを75％コンプリートしよう","0","0","0","0","0","0","94002","75"
"8","16","15","11","2","1","0","プリンノートを100％コンプリートしよう","91002","0","11001165","1","0","100","9000100","100"
