ca732d1cdbab4870de799b25d05e63bdb6d12ce12e4452da0fd4be1c090a8340,9a685ba46e7b5c80f4a4516af3fc7e466d6bcc907b9230a6858e0bc8d8065d69,9c9bf619e5783ef3f2bb3e417ef3cf7122d2425d331af3d78340fe07bbaa7de3
"1","1","10101"
"2","1","10102"
"3","1","10103"
"4","1","10104"
"1","2","10201"
"2","2","10202"
"3","2","10203"
"4","2","10204"
"1","3","10301"
"2","3","10302"
"3","3","10303"
"4","3","10304"
"1","4","10401"
"2","4","10402"
"3","4","10403"
"4","4","10404"
"1","5","10501"
"2","5","10502"
"3","5","10503"
"4","5","10504"
"1","6","10601"
"2","6","10602"
"3","6","10603"
"4","6","10604"
"1","7","10701"
"2","7","10702"
"3","7","10703"
"4","7","10704"
"1","8","10801"
"2","8","10802"
"3","8","10803"
"4","8","10804"
"0","0","99999"
