24f6d32a46995ff3cb6105a394d24fc3e911bbdf650967ea0741b095a721a96e,5b91483d55b8180c4f2e6ae2a107c7c042313f0729c4b60b346c9c26c1b9ba77,13fa5726035b86827643c6f0ebbd8649cdfbb0db12502632750a6bb1d5564abf,0f3139fc734764b77d862035a4f2aa2c8cd02daa7ab7faf3233e594abb6d9ffa
"0","1014601","0","10146"
"0","1014801","0","10148"
"0","1015001","0","10150"
"0","1015201","0","10152"
"5154007","0","0","10154"
"0","1016901","0","10169"
"0","1017001","0","10170"
"0","1017101","0","10171"
"0","1017201","0","10172"
"5154007","0","0","10173"
"0","2007701","0","20077"
"0","2007801","0","20078"
