a0b322455869f2c5311eba97e7be3d32926c8469879116d3ea966b982fc8e684,6a99fef201051bd7f1221bfe659828212a383e611977d902f7755f341421f7f1,c7d7b0525052725accb84faf7f277b9dbbca9ea1f04580f784fc85b1b0bd178a,d753df3540391e4efbe2cc6bc118f040f149a8bfe0825851ac124c12c91d44cf,2896e41661e6df34469f73156c6da0567e46f5f526f995e637496c95e6f4ef44,4b3af5ceba9e6e9af5c34e2289efdaafa0b6d2cda41a75044cceacfef76df345,c62e71b8a78e92460e038c9f98386ef6c52e924ab3241e65862ee45caaa23a63,fc872360a2d10d25bf4b13ec4f0f4acd40dadb6431d9038800259780faec7880,e76656fea217639c4dfda1b2637c41b9ec3a7717778d0bedf236b440c1b70fb4,29a5d48f085ba8b42faf12355fec0fff7475770b1d0a45e41932511012cdf1a6,b9012d20fefb3147d12be4353bd75e438423e0df2c92eee6f021ead613198802,31f9b8092744271358f0782cc1984281c723842b193ccf748068f33f0008e797,2ccffcb3ed05a2075ffb364d33bc8c6fe8379f6e6be76aed914c859d00fe4d61,ba5bf3995b3a889522726b7e40a2cf5ad76fd7ef6f6c3c6c5b908bfc5c1c90d4,f75c9209cff7cab01d788bf8bb592c0a1adbf1fdc5cb1e05fdfbf71ba26434b6,680586ea3c138dfbe502c6f9850e3a7d223a7b95bf28d9983b6f5cd752bc1af7,9524f20e30e6e8d2f86654b684f679f1bf19b39cb160aac258b642ab4f5c5f8b,ec8697931ee4a1336ce184cde116cab8d27ff790546f6dd03e0cc3cb5fb2484c,b941fc5ff7d6f45460e3c680bec7bc0a8d8f6070f80adbdb6b45353eec2768d8
"94002","0","2","50","0","2000000","0","2","0","12","0","1002200","1","1","20004","0","23001","50","80"
"94002","0","2","100","0","1600000","0","2","0","12","0","1002200","51","2","20004","0","23001","40","80"
"94002","0","2","200","0","1400000","0","2","0","12","0","1002200","101","3","20004","0","23001","40","60"
"94002","0","2","500","0","1200000","0","2","0","12","0","1002200","201","4","20004","0","23001","35","60"
"94002","0","2","1000","0","1000000","0","2","0","12","0","1002200","501","5","20004","0","23001","35","40"
"94002","0","2","1500","0","800000","0","2","0","12","0","1002200","1001","6","20004","0","23001","30","40"
"94002","0","2","2000","0","600000","0","2","0","12","0","1002200","1501","7","20004","0","23001","25","40"
"94002","0","2","3000","0","600000","0","2","0","12","0","1002200","2001","8","20003","0","23001","25","80"
"94002","0","2","5000","0","400000","0","2","0","12","0","1002200","3001","9","20003","0","23001","20","60"
"94002","0","2","10000","0","300000","0","2","0","12","0","1002200","5001","10","20003","0","23001","15","40"
"94002","0","2","100000","0","200000","0","2","0","12","0","1002200","10001","11","20003","0","23001","10","20"
"94002","0","2","200000","0","100000","0","2","0","12","0","1002200","100001","12","20003","0","23001","5","12"
"94002","0","2","300000","0","80000","0","2","0","12","0","1002200","200001","13","20003","0","23001","5","8"
"94002","0","2","400000","0","60000","0","2","0","12","0","1002200","300001","14","20003","0","23001","5","5"
"94002","0","2","-1","0","50000","0","2","0","12","0","1002200","400001","15","20003","0","23001","5","3"
