958e18ca47b6e911dca6b54b4328f8ae759b3067fabad82bdc0e97626b693f68,11bbb812667acc7d127acede88bf931b6bcd428cdff7b59a2a24837e5d473894,a97d0e3e8997dd72f55becda15d00e604e0a7c2d0a9f89bf43a1db1b76c2a1cd,2341df5b84de2dabf96e8742b30e21a0e12c431a5c0f9c31e678bc18e7a8dd22,7d001c67cabc52c1ec58d7a1118638104499949ba621430e415c6a34953cf572,2085b2e4e557478796e4f4c2128109276bb38ec31cfb10b1dbfb017e1b5aa39f,d2581ff6e4acdd2a231c78cfda3bc304f4a2fd4af957a49ffd2b3740663f9f78,a45953b09cad86b8f980743e1df10140551a728dcc74f8067b36d79449923132,bb7c9fe994895a1a659ba3721ee36b004c89b88d811b561d01ea6583cc1353ee,95df39b3427df9dd2026ac4791b03c13bd01e6d56a09384a49306ba25bae2a48,bb923bbb9d32d9bc562dc3e9d365045baf7ce3f910e7004be73d16171d0eaf39,432412c9d145214afe41cd480c9563938dd2df7bb1a59f0567742ae371053ef8,689eee2cb831e33cb71da6f0a9cb7372b107015d8c4b2cc778af3c7ec5a69d44,92023d853c96aeb59eff4f87a9e8b27d32a279ec7396ca7fed51fbcc8962a8ce,61b94e74b4baa26d6bf10bed754199f41199fba454b22253f8845bdd0bdcecdc
"2","1","10118","フリーマーケットを訪れたジータが出会ったのは\n城をこっそり抜け出していたペコリーヌだった。","0","0","フリーマーケット会場","40","2834","5118061","ペコリーヌとの出会い","青空の下で謁見","8","91002","7"
"2","1","10118","ジータたちがフリーマーケットを巡っていると\n露店を出していたマホに声をかけられる。","0","0","フリーマーケット会場","40","2835","5118062","マホとの出会い","未来の騎空団\nマスコット？","8","91002","7"
"2","1","10118","ジータが騎空団への依頼を確認していると、\n高笑いをしながらアキノが現れる。","0","0","ランドソル市街地","40","2837","5118063","アキノとの出会い","お嬢さまからの\n緊急依頼","8","91002","7"
"2","1","10118","ジータたちは、フリーマーケット会場で\n少し困った様子のジュンを見かける。","0","0","フリーマーケット会場","40","4108402","5118064","ジュンとの出会い","黄金色の悩みごと","8","91002","18"
"2","1","10118","フリーマーケットの隅で開かれる格闘大会──\nそこにはカオリもいて……？","0","0","フリーマーケット会場","40","4107402","5118065","カオリとの出会い","白熱！　格闘大会！","8","91002","18"
"2","1","10118","太鼓祭を控えるオーエド町──\nジータは、困った様子のニノンと出会う。","0","1","オーエド町","40","9000227","5118066","ニノンとの出会い","祭り太鼓はオーエドの華","8","91002","16"
"3","1","10118","ビカラはイベントに出演中のスズナを見かける。\nしかし、スズナはどこか困っているようで……？","0","0","フリーマーケット会場","40","2101181","5118067","スズナとの出会い","人気者は遅れて\nやってくる","8","91002","19"
"3","1","10118","ビカラたちが街を散策していると、通りかかった\nナナカが興奮した様子で近づいてきて……？","0","0","ランドソル市街地","40","4109402","5118068","ナナカとの出会い","巫女・ミーツ・魔法少女","8","91002","18"
"3","1","10118","ネズ耳をなくしてしまい絶望するビカラ。同じ頃\nキャルとコッコロは落とし物を拾っており……","0","0","フリーマーケット会場","40","4305402","5118069","キャル＆コッコロとの出会い","ネズ耳は二度なくなる","8","91002","18"
"3","1","10118","街外れでひと休みをしていたビカラたちは、\nすっかりゴキゲンな様子のユカリと出会う。","0","0","ランドソル市街地","40","4101402","5118070","ユカリとの出会い","この出会いにカンパイ！","8","91002","18"
"3","1","10118","ビカラは、人混みに怯えるアオイを心配し、\n陽気に声をかけるも……","0","0","ランドソル市街地","40","4106402","5118071","アオイとの出会い","陰陽アンサンブル","8","91002","18"
"3","1","10118","ビカラがフリーマーケット会場を歩いていると\n占いをしていたシノブに声をかけられる。","0","1","フリーマーケット会場","40","2836","5118072","シノブとの出会い","運試し十番勝負！","8","91002","7"
"1","0","10118","0","10145115","0","0","0","0","5118600","オープニング","彼女たちの新たな日常","0","0","0"
