f6e93fd38768c40ca152bc2a13d126cb571f4f039a2f4428bb98726dedc9d1e1,d2b0d7330fdf60029b438d4218de19d0e9be791d5e8fe78fc31986e4ab93e60d,498f5775761b2cb0dcefec25331310aa3546bdcc33a75151d4b63d72de2e62f8,2b8531a732712c2e784749526312a30fe94e48af302292aa7f9a979c13633729,11abc64e7ee7f9829d3518253bc0abc0ca77458f3c0cb67ea75146e0af565f59,7e2a9b71f8f167646f9abd420b2f9f3f460811e3811fc4381e78375f5221697a,dc7b541f63196c63d2827a881291baca1939ea90ef862fa4b02dcd36258017f2,655f06608cbba3a18800dfde5c51035f1f49bfacd4acd56a78af626136dd9351
"bgm_M32","10001101","10001","10001","10001","10001101","タルグム地方","bgm_M32"
"bgm_M98_2","10002101","10002","10002","10002","10002101","マシーナ地方","bgm_M98"
"bgm_M106","10003101","10003","10003","10003","10003101","ランドソル郊外","bgm_M106"
"bgm_M112","10004101","10004","10004","10004","10004101","タパスビーチ周辺","bgm_M112"
"bgm_M121","10005101","10005","10005","10005","10005101","イルシオンの孤島","bgm_M121"
"bgm_M128","10006101","10006","10006","10006","10006101","王都ランドソル","bgm_M128"
"bgm_M135","10007101","10007","10007","10007","10007101","ランドソル近郊","bgm_M135"
"bgm_M121","10008101","10008","10008","10008","10008101","ランドソル近郊","bgm_M121"
"bgm_M171","10009101","10009","10009","10009","10009101","クリスマス","bgm_M171"
"bgm_M121","10010101","10010","10010","10010","10010101","神殿への参道","bgm_M121"
"bgm_M189","10011101","10011","10011","10011","10011101","バレンタイン","bgm_M189"
"bgm_M206","10012101","10012","10012","10012","10012101","王都ランドソル","bgm_M206"
"bgm_M215","10013101","10013","10013","10013","10013101","マナリア","bgm_M215"
"bgm_M32","10014101","10014","10014","10014","10014101","タルグム地方","bgm_M32"
