c39f0187d1115025a1992e85c7f229eac4dc57dd77f632a01f4722c05c3b0680,d169a0e0e321ec11d86e961d410fccb36b564853584206028115b69cc1322b67,fe77857c7daa4b879b21a3955fafb6ab78516b47d41cea051b2719977d055f89,206fe5ffb4c9d84b22c540bbdcab014d76c7838faf8381379cfee6a92317e4d0,bd753fe6bcdb96e9322af9eaf8fcd6b0f4ac108a128dd73b74eab605e26883c2,517ddba3f3710df2024268bf5675fe99e26b183397fd017c3fc6afb0b87f04a7,1444584054a3356be9e4be20f4bf7aa1c1d9ce08f3f549528ed5d13087bc64c3,f4081a216eeed202cf0cae97dcd754229d6c234374407c6f103760dd75ba3df0,c526bdb4e682035a3429d43ca58f64fed280b7d9c5fbf7ac7c0126e8c37eed26,0bd30043195c313a2587728e21d2acd9fa91228ecfc6e0091e93ff8f94fd8c12,d5c289441c17ab2fa491e0678e1ea88297cfd54e705bab554a0160f10ceb131e,52dc6a1c0c8d4bbf620c4674307440ee65183d385348aef865bbef115535d5e9,a9eb93f5e45d832a7d1fcef6e69e1aa005414dc32a25c4338e2b23f3a18c0bcd,93420566c9a628b18536a146687a37151528de105278924aaf0bbaeffba435c4,de1b016cf0c01b3201c7e348976ae41b7a365a95154d13ca2c963095af56444c,0f37dbd8235bff32d8b5480e5b3766397b864e6d073792c25b50908013b9335e,6069b272a0d5a7634b12013dbafda048853cfa6e3d93a1f7da3bf678918d4bb7,30d2c09c94ef51768e8ff97dc39d53d012ca89e36106141595e246347b77c641
"0","0","0","12","0","0","0","5000","1","20000","0","スコアを累計で20000獲得しよう","94002","0","0","0","0","0"
"0","0","0","12","0","0","0","10000","2","40000","0","スコアを累計で40000獲得しよう","94002","0","0","0","0","0"
"0","0","0","12","0","0","0","15000","3","60000","0","スコアを累計で60000獲得しよう","94002","0","0","0","0","0"
"0","0","0","12","0","0","0","20000","4","80000","0","スコアを累計で80000獲得しよう","94002","0","0","0","0","0"
"5","0","0","8","0","0","0","50","5","100000","0","スコアを累計で100000獲得しよう","91002","0","23001","0","0","2"
"0","0","0","12","0","0","0","25000","6","120000","0","スコアを累計で120000獲得しよう","94002","0","0","0","0","0"
"0","0","0","12","0","0","0","30000","7","140000","0","スコアを累計で140000獲得しよう","94002","0","0","0","0","0"
"0","0","0","12","0","0","0","35000","8","160000","0","スコアを累計で160000獲得しよう","94002","0","0","0","0","0"
"0","0","0","12","0","0","0","40000","9","180000","0","スコアを累計で180000獲得しよう","94002","0","0","0","0","0"
"5","0","0","8","0","0","0","50","10","200000","0","スコアを累計で200000獲得しよう","91002","0","23001","0","0","2"
"0","0","0","12","0","0","0","55000","11","220000","0","スコアを累計で220000獲得しよう","94002","0","0","0","0","0"
"0","0","0","12","0","0","0","35000","12","240000","0","スコアを累計で240000獲得しよう","94002","0","0","0","0","0"
"0","0","0","12","0","0","0","40000","13","260000","0","スコアを累計で260000獲得しよう","94002","0","0","0","0","0"
"0","0","0","12","0","0","0","45000","14","280000","0","スコアを累計で280000獲得しよう","94002","0","0","0","0","0"
"10","0","0","8","0","0","0","150","15","300000","0","スコアを累計で300000獲得しよう","91002","0","23001","0","0","2"
