a989fa5b76603d79704cd733cc83d95229f80e7b5fc3c9f004232422d5489d9a,bc89fb84d71843511416b8d5129c4e4e1ef6fd6e032566f0cf9411244b841692,87456a2bed337f5b3ac87a9b41a54edb18d46f343dc52aac226babc2eee2a7a0
"15","2","10000101"
"15","1","10000201"
"25","1","10000401"
"50","3","10000601"
"15","2","10000801"
"15","1","10000901"
"25","3","10001001"
"10","2","10001101"
"25","3","10001501"
"15","1","10001502"
"15","1","20101001"
"50","3","20103001"
"25","2","20105001"
"25","1","20106001"
"25","3","20107001"
"25","2","20108001"
"25","3","20112001"
"50","1","20112002"
"30","1","20115001"
"75","3","20117001"
"50","2","20119001"
"50","1","20120001"
"30","3","20121001"
"50","2","20122001"
"30","3","20126001"
"50","1","20126002"
"50","2","20129001"
"50","1","20131001"
"100","3","20133001"
"50","2","20135001"
"50","1","20136001"
"50","3","20137001"
"50","2","20138001"
"50","3","20142001"
"50","1","20142002"
"100","1","20145001"
"100","3","20146001"
"75","2","20147001"
"200","1","20150001"
