938f146b2a01e2b426e4445f0885f6ba26496d9f65571c6cb27c42bdb353bbb6,bc1062cdea1e4a44df620093d2827f941c8354a9b013d4108b1e53906c934913,a14d36e984df0dade688e72f68f67f680a990156cc976e3e5c153f3bae411d6b
"エレクトロ・ギガス","6","32001"
"壊乱の黒鎧騎士","7","32001"
"ライライ","8","32001"
"ニードルクリーパー","9","32001"
"白陽・黒月の守護像","10","32001"
"エレクトロ・ギガス","6","32002"
"壊乱の黒鎧騎士","7","32002"
"ライライ","8","32002"
"ニードルクリーパー","9","32002"
"白陽・黒月の守護像","10","32002"
"ハイ・ガルグ","6","32003"
"カース・オラム","7","32003"
"ワイルドグリフォン","8","32003"
"ジャッカルシーフ","9","32003"
"黒月・白陽の守護像","10","32003"
"マスター・ウキキー","6","32004"
"キリングオルカ","7","32004"
"ランドスロース","8","32004"
"マッドベア","9","32004"
"ラースドラゴン","10","32004"
"イワノヅチ","6","32005"
"水瑚麟","7","32005"
"ワイバーン","8","32005"
"マダムプリズム","9","32005"
"ラースドラゴン","10","32005"
"ロード・イビリィ","6","32006"
"紅極鳥","7","32006"
"ライライ","8","32006"
"オークチーフ","9","32006"
"ラースドラゴン","10","32006"
"エレクトロ・ギガス","6","32007"
"クリスタルゴーレム","7","32007"
"ランドスロース","8","32007"
"ソードコブラ","9","32007"
"アルティマガーディアン","10","32007"
"マスター・ウキキー","6","32008"
"カース・オラム","7","32008"
"ゴブリンライダー","8","32008"
"ライデン","9","32008"
"アルティマガーディアン","10","32008"
"イワノヅチ","6","32009"
"紅極鳥","7","32009"
"ワイバーン","8","32009"
"トライロッカー","9","32009"
"アルティマガーディアン","10","32009"
"マスター・ウキキー","6","32010"
"ゴブリンメイスター","7","32010"
"フロストハウンド","8","32010"
"スカイワルキューレ","9","32010"
"ゴブリンロード","10","32010"
"壊乱の黒鎧騎士","6","32011"
"オクタスキッド","7","32011"
"ゴブリングレート","8","32011"
"ティタノタートル","9","32011"
"ゴブリンロード","10","32011"
"ハイ・ガルグ","6","32012"
"カース・オラム","7","32012"
"ワイルドグリフォン","8","32012"
"オブシダンワイバーン","9","32012"
"ゴブリンロード","10","32012"
"エレクトロ・ギガス","6","32013"
"クリスタルゴーレム","7","32013"
"タフガイスト","8","32013"
"フラワーシュバリエ","9","32013"
"ゴブリンロード","10","32013"
"マスター・ウキキー","6","32014"
"紅極鳥","7","32014"
"ライライ","8","32014"
"ソードコブラ","9","32014"
"ゴブリンロード","10","32014"
"ハイ・ガルグ","6","32015"
"オクタスキッド","7","32015"
"フロストハウンド","8","32015"
"オブシダンワイバーン","9","32015"
"黒月・白陽の守護像","10","32015"
"エレクトロ・ギガス","6","32016"
"カース・オラム","7","32016"
"グレーターゴーレム","8","32016"
"レインスピリット","9","32016"
"黒月・白陽の守護像","10","32016"
