62738d334133b4bfff14bcce565ff1a5a55b203de7a656f8419fdc5998a5409a,63a5777e10a696e6cf3f9425f756fc3fcd3c8eaf774db15ae5431bb6f09f75b5,02acb9e41134c67e3cb5ab896dd7c894cd98191e6da240ed5896aae37e6ef27a,e83c5e185100487450e98f1345ba0bffd283e4a1aeab4cfd51c245e15a6f2087
"8","1","スロウ","1"
"8","2","ヘイスト","2"
"8","3","麻痺","3"
"8","4","凍結","4"
"8","5","束縛","5"
"8","6","睡眠","6"
"8","7","スタン","7"
"8","8","石化","8"
"8","9","拘留","9"
"9","0","拘留(ダメージ)","10"
"9","1","毒","11"
"9","2","火傷","12"
"9","3","呪い","13"
"11","0","魅了","14"
"12","-1","暗闇","15"
"13","-1","沈黙","16"
"30","-1","即死","17"
"3","-1","ノックバック","18"
"11","1","混乱","19"
"9","4","猛毒","20"
"56","-1","千里眼","21"
"59","-1","回復阻害","22"
"61","0","恐慌","23"
"60","-1","刻印付与","24"
"62","-1","畏怖","25"
"69","-1","トナカイ化","26"
"8","10","気絶","27"
"9","5","呪詛","28"
"70","-1","ＨＰ変化","29"
"8","11","時間停止","30"
"76","-1","ＨＰ回復量減少","31"
"78","-1","弱体被ダメージ上昇","32"
"79","1","行動時毒ダメージ","33"
"8","14","スタン（別枠）","34"
"9","7","毒（別枠）","35"
"9","8","呪い（別枠）","36"
"11","2","混乱（別枠）","37"
"8","13","結晶化","38"
"83","1","スロウ(加算可能)","39"
"83","2","ヘイスト(加算可能)","40"
"49","3","バフ消去","41"
"49","10","バリア消去","42"
"9","9","黒炎","43"
"99","2","ヘイストフィールド","44"
"99","1","スロウフィールド","45"
"49","20","バフ消去（指定）","46"
"101","5","殴り刻印（攻撃ヒット）","47"
"79","10","行動時界雷ダメージ","48"
"112","9","状態異常時間延長","49"
"116","1","執着状態","50"
"117","15","アラクネ拘束","51"
"11","3","操糸","52"
"9","11","絶怠霊度","53"
"46","-1","割合ダメージ","54"
"61","1","遮絶の操糸","55"
