e83c5e185100487450e98f1345ba0bffd283e4a1aeab4cfd51c245e15a6f2087,63a5777e10a696e6cf3f9425f756fc3fcd3c8eaf774db15ae5431bb6f09f75b5,62738d334133b4bfff14bcce565ff1a5a55b203de7a656f8419fdc5998a5409a,02acb9e41134c67e3cb5ab896dd7c894cd98191e6da240ed5896aae37e6ef27a
"1","1","8","スロウ"
"2","2","8","ヘイスト"
"3","3","8","麻痺"
"4","4","8","凍結"
"5","5","8","束縛"
"6","6","8","睡眠"
"7","7","8","スタン"
"8","8","8","石化"
"9","9","8","拘留"
"10","0","9","拘留(ダメージ)"
"11","1","9","毒"
"12","2","9","火傷"
"13","3","9","呪い"
"14","0","11","魅了"
"15","-1","12","暗闇"
"16","-1","13","沈黙"
"17","-1","30","即死"
"18","-1","3","ノックバック"
"19","1","11","混乱"
"20","4","9","猛毒"
"21","-1","56","千里眼"
"22","-1","59","回復阻害"
"23","0","61","恐慌"
"24","-1","60","刻印付与"
"25","-1","62","畏怖"
"26","-1","69","トナカイ化"
"27","10","8","気絶"
"28","5","9","呪詛"
"29","-1","70","ＨＰ変化"
"30","11","8","時間停止"
"31","-1","76","ＨＰ回復量減少"
"32","-1","78","弱体被ダメージ上昇"
"33","1","79","行動時毒ダメージ"
"34","14","8","スタン（別枠）"
"35","7","9","毒（別枠）"
"36","8","9","呪い（別枠）"
"37","2","11","混乱（別枠）"
"38","13","8","結晶化"
"39","1","83","スロウ(加算可能)"
"40","2","83","ヘイスト(加算可能)"
"41","3","49","バフ消去"
"42","10","49","バリア消去"
"43","9","9","黒炎"
"44","2","99","ヘイストフィールド"
"45","1","99","スロウフィールド"
"46","20","49","バフ消去（指定）"
"47","5","101","殴り刻印（攻撃ヒット）"
"48","10","79","行動時界雷ダメージ"
"49","9","112","状態異常時間延長"
"50","1","116","執着状態"
"51","15","117","アラクネ拘束"
"52","3","11","操糸"
"53","11","9","絶怠霊度"
"54","-1","46","割合ダメージ"
"55","1","61","遮絶の操糸"
