b27204811e8c9cb4ea12bbef2181e360b824eb3775168c2200863f5822473468,14d13ca95a5e46b3a3d3211497c14367d2569a1c11826bacb1e0e9daa51bfa47,ec6739442c254c27ccd495a209007778b6f3fa5d6630d3262568c7dc1d1b4dad,e753aabb48ca3ebea03b6128033b16a926f45f65022ea6fe9c991a832e7bf9e8,964ebf9ff177f759cf616592539f16ae7cf2823a78843adf69c2c81e24e9793c,66b2662493efcb75521423ff8d5a8f5c151890f509d6c6bf7cd4f8e2c6809440
"1101","0","20025","1","1","0"
"1102","0","20025","1","1","0"
"1103","5042002","20025","1","0","1"
"1104","0","20025","1","1","0"
"1105","5042003","20025","1","0","1"
"1106","0","20025","1","1","0"
"1107","5042005","20025","1","0","2"
"1201","5042007","20025","2","0","1"
"1202","5042007","20025","2","0","2"
"1203","0","20025","2","1","0"
"1204","0","20025","2","1","0"
"1301","0","20025","1","0","0"
