eca9bc48c83ad097de428ea57d450f28b86989ec09f4f880bfd5e198d59b0e17,3e54a1e1e51eb590a0887210e0bc0c56b2f14dcbce2d919a64e05c5a3fd125e2
"1","40"
"2","40"
"3","40"
"4","60"
"5","60"
"6","60"
"7","100"
"8","100"
"9","100"
"10","100"
"11","100"
"12","100"
"13","100"
"14","100"
"15","150"
"16","150"
"17","150"
"18","150"
"19","150"
"20","150"
"21","150"
"22","150"
"23","180"
"24","180"
"25","180"
"26","180"
"27","180"
"28","180"
"29","180"
"30","180"
"31","200"
"32","200"
"33","200"
"34","200"
"35","200"
"36","250"
"37","250"
"38","250"
"39","250"
"40","250"
