9d8cf2416d48acd722f70f0593fcfe12f17772710c7c523ae39bb96b86a9b857,74c88420be641ec875e68fef963d2a29d005e44084871182aa9a743927fd4f69,1b6a7e3c47ce1d13298090644d5c786c5b477346f2cd36cd1a14b4623f488e37,2f80ea6f358972014fdbf2355802355803596cf7c43d498baee720627f30afe2,262b180379c80ceb4620ad4d232a5761d878f1f703f09748a5884afb09893540,fcc0359ec61b4320b85e4cde05f8cc89e02ada95bc36784b5dc8067f01959122,7935ed3cdc1e2e27eff5a48b5b3447b8141ec7309c30f3b6868a64646e483db8,0b20fc1f4bab1cccb8e450ab91224b3b4306a85ae4926a2749cb7d2f7568e07c,98fb171570d0e04ae4e47e4946ee86a5d85b9ae83ffffd092b1decc124be7e89,139399a4a2d0f9b3d0e5a8d18d881069cce89e4aac38a382ee92bee8191e7a17,c4efe1cb56d9c35cd3c19ac857c2e03f1c7a6058c388efb4d477db3ba882c44e
"1","1","118511","100","1","1","1001","-194","taq_karin_idle","72","1.65"
"1","","vo_minigame_1009_top_001","0","21","vo_minigame_1009","1002","","","0",""
"1","0","賞品も用意して\nいますので頑張って\nくださいね♪","8","11","118511","1003","0","0","0","0"
"1","","taq_karin_talk_normal","1","3","118511","1004","","","","0.2"
"1","","","","91","1003","1005","","","",""
"1","","taq_karin_idle","1","3","118511","1006","","","","0.2"
"2","1","118511","100","1","1","2001","-194","taq_karin_idle","72","1.65"
"2","","vo_minigame_1009_top_002","0","21","vo_minigame_1009","2002","","","0",""
"2","0","みなさんの知識が\n試されますよ","8","11","118511","2003","0","0","0","0"
"2","","taq_karin_talk_thinking","1","3","118511","2004","","","","0.2"
"2","","","","91","2003","2005","","","",""
"2","","taq_karin_idle","1","3","118511","2006","","","","0.2"
"3","1","118511","100","1","1","3001","-194","taq_karin_idle","72","1.65"
"3","","vo_minigame_1009_top_003","0","21","vo_minigame_1009","3002","","","0",""
"3","0","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","8","11","118511","3003","0","0","0","0"
"3","","taq_karin_talk_surprise","1","3","118511","3004","","","","0.2"
"3","","","","91","3003","3005","","","",""
"3","","taq_karin_idle","1","3","118511","3006","","","","0.2"
"4","1","118511","100","1","1","4001","-194","taq_karin_idle","72","1.65"
"4","","vo_minigame_1009_top_004","0","21","vo_minigame_1009","4002","","","0",""
"4","0","わからないときは\n勘に頼ってみても\nいいと思います","8","11","118511","4003","0","0","0","0"
"4","","taq_karin_talk_normal2","1","3","118511","4004","","","","0.2"
"4","","","","91","4003","4005","","","",""
"4","","taq_karin_idle","1","3","118511","4006","","","","0.2"
"5","1","118511","100","1","1","5001","-194","taq_karin_idle","72","1.65"
"5","","vo_minigame_1009_top_005","0","21","vo_minigame_1009","5002","","","0",""
"5","0","仲よく協力して\n全問正解を\n目指してくださいね♪","7","11","118511","5003","0","0","0","0"
"5","","taq_karin_talk_joy3","1","3","118511","5004","","","","0.2"
"5","","","","91","5003","5005","","","",""
"5","","taq_karin_idle","1","3","118511","5006","","","","0.2"
