191a99539a6f961ca98ca90c5f3f40759d11d91468ec663803e81ff1b8ab1221,c6c93447a25fdd4267662c07e8a46f4b71bf999b1d908fff00ade51bddd1fb89,37fc1595d6425b8cc5375ad2bf1c671f78139ebcc392a5fd93ddd4bde0bcf2ea,e4707de3f94b234ab527ade3bcf74bf41e5073d18184b06de5813075054551cb,4c765bfe8eb8eb1d34744db48508ab0db54e26f121c88c43f35d82e113279e00,ccbf1802966c555cad4994b711e99caa2fa239a04f538f0a5533e34c59638c1c,94c6eba8f8a46f618be3262452efd9c17a1bd225f2b12de22540b6fa20e23f34
"0","1","10201","2025/01/31 12:00:00","10201101","10201101","5201401"
"0","1","10201","2025/02/06 12:00:00","10201102","10201151","5201402"
"5201010","2","10201","2025/01/31 12:00:00","10201201","23","5201411"
"0","3","10201","2025/02/06 12:00:00","10201401","0","5201601"
"0","1","10202","2025/02/28 12:00:00","10202101","10202101","5202401"
"0","2","10202","2025/02/28 12:00:00","10202201","23","5202411"
"0","1","10203","2025/03/31 12:00:00","10203101","10203101","5203401"
"5203007","2","10203","2025/03/31 12:00:00","10203201","23","5203411"
"0","1","10204","2025/04/30 12:00:00","10204101","10204101","5204401"
"5204006","2","10204","2025/04/30 12:00:00","10204201","23","5204411"
