cdbf15cdccc961cafe3cdcfac48b603667158f4ebb79233d466ea7500257e98d,b51ba1f0c4aaa316d69a1a32d59abbaff8099b8dfcac919c6cfe517859600dff,90ebdea680c2d7ff4b823d44a4f3453f023bbcc7ca4f6f7f5b7f6eac57d0a0d6,19f90c192a6bf77d3e891684b1b1bd7bbbcda8e61a18a0ed5fa217200f97afde,539e24921885ee88de5cc106bf352776c9be6e6691121df6d9e01b06aa2bb02c
"3030100","0","1","1","0"
"3050100","0","2","1","0"
"3040100","0","3","1","0"
"3020100","0","4","1","0"
"2040100","0","5","1","0"
"2040100","0","5","2","0"
"2020100","0","6","1","0"
"2020100","0","6","2","0"
"1030100","314","7","1","0"
"4030100","0","8","1","0"
"1050100","502","9","1","0"
"4020100","0","10","1","0"
"2030100","0","11","1","0"
"2030100","0","11","2","0"
"3040100","0","12","1","10301010"
"1020100","202","13","1","0"
"1040102","406","14","1","20201010"
"1010200","105","15","1","0"
"2010200","0","15","2","0"
"2010200","0","15","3","0"
"3050200","0","16","1","0"
"3040200","0","17","1","0"
"3020200","0","18","1","0"
"2040200","0","19","1","0"
"2040200","0","19","2","0"
"2020200","0","20","1","0"
"2020200","0","20","2","0"
"1030200","315","21","1","0"
"1020200","205","22","1","0"
"1050200","509","23","1","0"
"4020200","0","24","1","0"
"2030200","0","25","1","0"
"2030200","0","25","2","0"
"4030200","0","26","1","0"
"3020200","0","27","1","10101020"
"1040200","408","28","1","20201020"
"3040200","0","29","1","10101020"
"3010200","0","30","1","10101020"
"1010300","102","31","1","0"
"2010300","0","31","2","0"
"2010300","0","31","3","0"
"3050300","0","32","1","0"
"3040300","0","33","1","0"
"3020300","0","34","1","0"
"2040300","0","35","1","0"
"2040300","0","35","2","0"
"2020300","0","36","1","0"
"2020300","0","36","2","0"
"1030300","306","37","1","0"
"1020300","206","38","1","0"
"1050300","502","39","1","0"
"4020300","0","40","1","0"
"2030300","0","41","1","0"
"2030300","0","41","2","0"
"4030300","0","42","1","0"
"3020300","0","43","1","10101030"
"1040300","406","44","1","20201030"
"3010300","0","45","1","10101050"
"3040300","0","46","1","10101050"
"3030300","0","47","1","10101050"
"3010300","0","48","1","10101050"
"3020300","0","49","1","10101050"
"1010300","112","50","1","30102050"
