e44b38e7de822343b17c26d4f8de52feffb67b92fec215ef19bf996b94e0b44f,5c5d8d9f700e8b8dc8648376d3a8aec5243478873ee1e0c3cca0da0896c6ec4c,f2f086273a77296d277923c466d45bb54bef28bc243682ba1f4dc98f33a48bd9,ed5034e4fc8ae80f511a7d2a815c5f73e8d93a58d94fd2f776cfced6674e1233,50a9d0eb8fe4574c2560512f5c4ee59e85c06c43b8cda99e978280bb5e2557de,37679ebf044d02753695f7a18f8a5ecb303ce4c28d025b1b7084e2aca1e73db4,063a95a442e3ca7b85e1f69f901b2e90b76c4078f0aad68cfb039e36347aaf89,2dd67db7879b881d1e64aef98b3d366dcc9a13b48fe1a519843125b71b6a6a1f,6a752201a4161ba635c2f854fad02c9922b9dc35baf5617207fc680888784a3c,7aef1c05612112f8ab19116d7ba16412060e754053631c860dbba73e86babb54,31692828489235063d57c0b697de189c7894e956aee1edb3b1507d407542aed4,4c5fa885ba0bca1ed4b3d6d0001fc3f2b07aa184c99e2f11e4478786175ab4d4,10375c7cf744fa180676704734a7707132c5f7821b623babb0b3f1fd3051c708,8581da4c1f342afdf1497b8db5289471bdd889891e2b56cacb6ced4d2221def7,e216d3f061e0fa113515c39527466a0f3970771748a6a4c669f25df0a050cded,409e34dfbcf6b177ae39f36cc84d31cb3beb9b6cd30e15fe1c3be470946fe603,b0381ec29ee2169923c17b9ac35e4b32b5c021d196fdfb3c58af46536b495a64,9deeb6ba5cd87e7ee02070a19101e3ebdb6bb9e6e6c420fc41e2f25c560af713,6a096629329a9d26da561d9f16d39503761635d9aca53454f567b73396f3b5e3,3fe3d20ab72ae263a1a95f396f4ca63bffc20a31c07857de8384b6d63ad5f09c,bbdc68bd3a3821da81430134db2a0ab371e2d28f3bc0918385075ac97833fddc,7e3656c61a4b473e390a7384707bd9691b22671452ce8415bf35f40179553dff,823af4f9c5728ba37cc5f432db78bee41410d7eeb8d8cc532a9b3ed2932060bc,79295c4f0811860e890c5178d2d5d11b02f6536afef6c1fde4dc012d7a1c378d,144a7c050455711082d99dc38b06768d18328801d8e3e828a66a15e9404c176a,6ea1ea8e750b9afb0d4b906806c06f46911b6eac8033cc203de664d8d1defa5c,e401ba0ff4b061b1313f72c13ba643019c6a220f4fba734152aac3956f54f4a3
"","4","0","","1","1","0","192501","106901","","","","","3","2","2","4","0","","3","129001","","","","","",""
"","2","","","0","2","0","192501","106901","","","","","2","","","4","2","","2","129001","","","","","",""
"","4","0","2","1","3","0","192501","106901","","","","","4","2","1","4","0","","3","129001","3","","","","","0"
"","2","","","0","4","0","192501","106901","","","","","2","","","4","1","","1","129001","","","","","",""
"","2","","","0","5","0","192501","106901","","","","","2","","","4","1","","1","129001","","","","190901","",""
"","2","","","0","6","0","190901","106901","","","","","2","","","4","1","","1","129001","","","","192501","",""
"118401","2","","","0","7","0","","106901","","","","","2","","","4","1","","1","129001","","","","118301","",""
"118401","2","","","0","8","0","","106901","","","","","2","","","4","2","","2","129001","","","","118301","",""
"120501","4","0","","1","9","0","","106901","","","120601","","3","2","2","4","0","","3","129001","","","","120401","",""
"121801","2","","","0","10","0","","106901","","","","","2","","","4","2","","2","129001","","","","121701","",""
"124401","2","","","0","11","0","","","","","","","2","","","4","2","","2","","","","","124301","",""
"128201","2","","","0","12","0","","","","","","","2","","","4","2","","2","","","","","128101","",""
