36d49718bfd059582e57c0957dc985dc2b690ec327e40ccbe262f85694783bf1,f713cfaffc58762bc1a5edd4126df4a63f34e33e95295d861ab911ec315cede7,ef590647910d8ca355a152e9602a6f8b72387d195f5e094b72eb0aa60f7cc1a5,08f32ff771e2c4e3e59f199d80a134850b83ef332f3152ca8fa3b0ff3f679163
"スロウ","1","8","1"
"ヘイスト","2","8","2"
"麻痺","3","8","3"
"凍結","4","8","4"
"束縛","5","8","5"
"睡眠","6","8","6"
"スタン","7","8","7"
"石化","8","8","8"
"拘留","9","8","9"
"拘留(ダメージ)","10","9","0"
"毒","11","9","1"
"火傷","12","9","2"
"呪い","13","9","3"
"魅了","14","11","0"
"暗闇","15","12","-1"
"沈黙","16","13","-1"
"即死","17","30","-1"
"ノックバック","18","3","-1"
"混乱","19","11","1"
"猛毒","20","9","4"
"千里眼","21","56","-1"
"回復阻害","22","59","-1"
"恐慌","23","61","0"
"刻印付与","24","60","-1"
"畏怖","25","62","-1"
"トナカイ化","26","69","-1"
"気絶","27","8","10"
"呪詛","28","9","5"
"ＨＰ変化","29","70","-1"
"時間停止","30","8","11"
"ＨＰ回復量減少","31","76","-1"
"弱体被ダメージ上昇","32","78","-1"
"行動時毒ダメージ","33","79","1"
"スタン（別枠）","34","8","14"
"毒（別枠）","35","9","7"
"呪い（別枠）","36","9","8"
"混乱（別枠）","37","11","2"
"結晶化","38","8","13"
"スロウ(加算可能)","39","83","1"
"ヘイスト(加算可能)","40","83","2"
"バフ消去","41","49","3"
"バリア消去","42","49","10"
"黒炎","43","9","9"
"ヘイストフィールド","44","99","2"
"スロウフィールド","45","99","1"
"バフ消去（指定）","46","49","20"
"殴り刻印（攻撃ヒット）","47","101","5"
"行動時界雷ダメージ","48","79","10"
"状態異常時間延長","49","112","9"
"執着状態","50","116","1"
"アラクネ拘束","51","117","15"
"操糸","52","11","3"
"絶怠霊度","53","9","11"
"割合ダメージ","54","46","-1"
"遮絶の操糸","55","61","1"
"聖浄の光","56","9","12"
"殴り刻印（クリティカル）","57","101","4"
