54bb0445989072be04fa024801818a937fcc3f714c90e443532f22d863aa9ccd,eb0bd528206f087d7eed52547a226291afbe1a61966757b747f98cf743393272,0c291d83cba320759217bfbe763c280faf1770e163cffbc0730b498ffffe3244,2118475dbe863da8713254ddc88e0812e58d6adf88dcd5f94382d1ec97c2cae9
"1","スロウ","8","1"
"2","ヘイスト","8","2"
"3","麻痺","8","3"
"4","凍結","8","4"
"5","束縛","8","5"
"6","睡眠","8","6"
"7","スタン","8","7"
"8","石化","8","8"
"9","拘留","8","9"
"0","拘留(ダメージ)","9","10"
"1","毒","9","11"
"2","火傷","9","12"
"3","呪い","9","13"
"0","魅了","11","14"
"-1","暗闇","12","15"
"-1","沈黙","13","16"
"-1","即死","30","17"
"-1","ノックバック","3","18"
"1","混乱","11","19"
"4","猛毒","9","20"
"-1","千里眼","56","21"
"-1","回復阻害","59","22"
"-1","恐慌","61","23"
"-1","刻印付与","60","24"
"-1","畏怖","62","25"
"-1","トナカイ化","69","26"
"10","気絶","8","27"
"5","呪詛","9","28"
"-1","ＨＰ変化","70","29"
"11","時間停止","8","30"
"-1","ＨＰ回復量減少","76","31"
"-1","弱体被ダメージ上昇","78","32"
"1","行動時毒ダメージ","79","33"
"14","スタン（別枠）","8","34"
"7","毒（別枠）","9","35"
"8","呪い（別枠）","9","36"
"2","混乱（別枠）","11","37"
"13","結晶化","8","38"
"1","スロウ(加算可能)","83","39"
"2","ヘイスト(加算可能)","83","40"
"3","バフ消去","49","41"
"10","バリア消去","49","42"
"9","黒炎","9","43"
"2","ヘイストフィールド","99","44"
"1","スロウフィールド","99","45"
"20","バフ消去（指定）","49","46"
"5","殴り刻印（攻撃ヒット）","101","47"
"10","行動時界雷ダメージ","79","48"
"9","状態異常時間延長","112","49"
"1","執着状態","116","50"
"15","アラクネ拘束","117","51"
"3","操糸","11","52"
"11","絶怠霊度","9","53"
