a0ba3db9495daa2eb9621b12dbea1a271ba1a6438d88c27440dc591effe6e8e7,190e777f3cde0cd9aa4016e87736a92ac8944585b04c1e482c2e88b6e00f0dd3,eddf68c336d6a5c3b38dc0f4dfec3aa3d042334b253a31a88596113e3562b337,374919eca8292dcf865994edbb79b854325cd5375fa5a9f9f8154ac7b58cda63
"0","11","1","1"
"0","12","1","1"
"11002002","13","1","1"
"11003005","14","1","1"
"11002012","15","1","1"
"0","16","2","1"
"0","201","0","201"
"0","203","0","2000"
"0","204","0","2000"
"0","205","0","2000"
"0","206","0","206"
"0","207","0","207"
"0","301","0","301"
