ee4cb37c53dc3dc86d54f89976c329912e7da72d24a49642908428ef47ae6217,369df075a12360f4603e6d8e2c1b873da09e5484d056a383a08143edfb690b75,dcb0ec1223959cb00e81f351867899410c4c2aa54c38a9a2889dc221feada2c7,160271516067f09925b9fe2cfd1c937991d6e8db41e2ca8db08bb51bc3385902,a3e43e914baa91312a89c2f6604d2437297118ae108f2aaab21f80baf351244a
"2020/02/15 15:00:00","27001","28","27001","2020/03/02 4:59:59"
"2021/02/15 23:00:00","27001","33","27002","2021/03/05 11:59:59"
"2021/08/15 15:00:00","27001","42","27003","2021/09/05 11:59:59"
"2021/12/31 12:00:00","27001","43","27004","2022/01/21 11:59:59"
"2022/02/15 15:00:00","27005","44","27005","2022/03/05 14:59:59"
"2022/08/15 15:00:00","27001","55","27006","2022/09/05 11:59:59"
"2022/12/31 12:00:00","27001","81","27007","2023/01/21 11:59:59"
"2023/02/15 15:00:00","27005","82","27008","2023/03/05 14:59:59"
"2023/04/30 12:00:00","27009","85","27009","2023/05/25 14:59:59"
"2023/08/15 15:00:00","27001","113","27010","2023/09/04 14:59:59"
"2023/12/31 12:00:00","27012","115","27012","2024/01/21 11:59:59"
"2024/02/15 00:00:00","27005","118","27013","2024/03/05 14:59:59"
"2024/04/30 12:00:00","27012","119","27014","2024/05/30 23:59:59"
"2024/08/15 15:00:00","27012","127","27015","2024/09/10 23:59:59"
"2024/12/20 5:30:00","27012","138","27016","2024/12/31 11:59:59"
"2024/12/31 12:00:00","27012","140","27017","2025/01/24 23:59:59"
"2025/02/15 15:00:00","27018","153","27018","2025/03/05 23:59:59"
"2025/02/15 15:00:00","27012","154","27019","2025/03/05 23:59:59"
"2025/04/30 12:00:00","27012","169","27020","2025/05/30 23:59:59"
"2025/08/15 15:00:00","27012","191","27023","2025/09/10 23:59:59"
"2025/12/20 12:00:00","27012","223","27024","2025/12/31 11:59:59"
"2025/12/31 12:00:00","27012","226","27025","2026/01/24 23:59:59"
"2026/02/15 12:00:00","27018","245","27028","2026/03/05 23:59:59"
"2026/02/15 12:00:00","27005","246","27029","2026/03/05 23:59:59"
"2026/04/30 12:00:00","27005","260","27030","2026/05/30 23:59:59"
"2026/04/30 12:00:00","27031","270","27031","2026/05/30 23:59:59"
