61332b4133518dbd60ccdf3b927222f3ad109180329c49f6ea8be6575639561c,a83b61c190132c05b19345f468dca1ef41ba8b64d449fa420fddd3a9d0b5f986,8b6e8b7929d45d3d3c1b070cc36fa7a6c54fadbe72fa95da63492dc27c9d2857,a0c38dc09ed633cdc4ff0f4f9fbf856e23221766edf9e83f32a43a81934b590b
"1004601","1004601","1","5046601"
"1004801","1004801","1","5048007"
"1004802","1004802","2","1004801"
"1005601","1005601","1","5056601"
"1006101","1006101","1","5061601"
"1006102","1006102","3","5061602"
"1006103","1006103","1","5061601"
"1006601","1006601","4","5027704"
"1007001","1007001","5","0"
"1007301","1007301","1","5046601"
"1007501","1007501","1","5048007"
"1007502","1007502","2","1004801"
"1008201","1008201","6","0"
"1008301","1008301","1","5056601"
"1008901","1008901","1","5061601"
"1008902","1008902","3","5061602"
"1008903","1008903","1","5061601"
"1009201","1009201","3","5092601"
"1010001","1010001","3","5100601"
"1010201","1010201","3","5100601"
"1010901","1010901","6","0"
"1011901","1011901","3","5092601"
"1012701","1012701","3","5100601"
"2003201","2003201","1","5056601"
