7cb675dbe8613306efb1086f9b916a9576a24a6bd8ea65b62c1beaf5ea5828c0,d018c92080edfa17861ffd3d03e818a26ab0479a2ae951855379cd8588ec32f4,7d46847ffea4523adf1fa9a778ae75b0f37205723f83014e1f939afd22fdc245
"エレクトロ・ギガス","32001","6"
"壊乱の黒鎧騎士","32001","7"
"ライライ","32001","8"
"ニードルクリーパー","32001","9"
"白陽・黒月の守護像","32001","10"
"エレクトロ・ギガス","32002","6"
"壊乱の黒鎧騎士","32002","7"
"ライライ","32002","8"
"ニードルクリーパー","32002","9"
"白陽・黒月の守護像","32002","10"
"ハイ・ガルグ","32003","6"
"カース・オラム","32003","7"
"ワイルドグリフォン","32003","8"
"ジャッカルシーフ","32003","9"
"黒月・白陽の守護像","32003","10"
"マスター・ウキキー","32004","6"
"キリングオルカ","32004","7"
"ランドスロース","32004","8"
"マッドベア","32004","9"
"ラースドラゴン","32004","10"
"イワノヅチ","32005","6"
"水瑚麟","32005","7"
"ワイバーン","32005","8"
"マダムプリズム","32005","9"
"ラースドラゴン","32005","10"
"ロード・イビリィ","32006","6"
"紅極鳥","32006","7"
"ライライ","32006","8"
"オークチーフ","32006","9"
"ラースドラゴン","32006","10"
"エレクトロ・ギガス","32007","6"
"クリスタルゴーレム","32007","7"
"ランドスロース","32007","8"
"ソードコブラ","32007","9"
"アルティマガーディアン","32007","10"
"マスター・ウキキー","32008","6"
"カース・オラム","32008","7"
"ゴブリンライダー","32008","8"
"ライデン","32008","9"
"アルティマガーディアン","32008","10"
"イワノヅチ","32009","6"
"紅極鳥","32009","7"
"ワイバーン","32009","8"
"トライロッカー","32009","9"
"アルティマガーディアン","32009","10"
"マスター・ウキキー","32010","6"
"ゴブリンメイスター","32010","7"
"フロストハウンド","32010","8"
"スカイワルキューレ","32010","9"
"ゴブリンロード","32010","10"
"壊乱の黒鎧騎士","32011","6"
"オクタスキッド","32011","7"
"ゴブリングレート","32011","8"
"ティタノタートル","32011","9"
"ゴブリンロード","32011","10"
"ハイ・ガルグ","32012","6"
"カース・オラム","32012","7"
"ワイルドグリフォン","32012","8"
"オブシダンワイバーン","32012","9"
"ゴブリンロード","32012","10"
"エレクトロ・ギガス","32013","6"
"クリスタルゴーレム","32013","7"
"タフガイスト","32013","8"
"フラワーシュバリエ","32013","9"
"ゴブリンロード","32013","10"
"マスター・ウキキー","32014","6"
"紅極鳥","32014","7"
"ライライ","32014","8"
"ソードコブラ","32014","9"
"ゴブリンロード","32014","10"
"ハイ・ガルグ","32015","6"
"オクタスキッド","32015","7"
"フロストハウンド","32015","8"
"オブシダンワイバーン","32015","9"
"黒月・白陽の守護像","32015","10"
"エレクトロ・ギガス","32016","6"
"カース・オラム","32016","7"
"グレーターゴーレム","32016","8"
"レインスピリット","32016","9"
"黒月・白陽の守護像","32016","10"
