81312e0e5ca273c06bffe3d90ece03db7c3a57e21c4684895e364f606659900f,ad8c6278e46bce8a82105204520a4be1136d432befeabd1dd878d0637b5e7de8,4bb3157e2608ebcc5bea12a255178fef08dfe7b8e87f74fca6969652dc79e962,e1ce03ac09e9e052b9c02ee68769bdef111aefcf31200fad77edc03a40e51146,fac45fabd0ec14402e801ed59ae897d986bb29e0147df298d7d83eb052e48a54
"1001","1","12","94002","8000000"
"1001","2","2","90005","40"
"1002","3","12","94002","8000000"
"1002","4","2","90005","50"
"1003","5","12","94002","8000000"
"1003","6","2","90005","60"
"1004","7","12","94002","8000000"
"1004","8","2","90005","70"
"1005","9","8","91002","150"
"1005","10","12","94002","8000000"
"1005","11","2","90005","80"
"1006","12","12","94002","8000000"
"1006","13","2","90005","90"
"1007","14","8","91002","300"
"1007","15","12","94002","8000000"
"1007","16","2","90005","100"
"2001","17","12","94002","8000000"
"2002","18","12","94002","8000000"
"2003","19","12","94002","8000000"
"2004","20","12","94002","8000000"
"2005","21","12","94002","8000000"
"2006","22","12","94002","8000000"
"2007","23","12","94002","8000000"
"2008","24","12","94002","8000000"
"2009","25","12","94002","8000000"
"2010","26","12","94002","8000000"
"2011","27","12","94002","8000000"
"2012","28","12","94002","8000000"
"2013","29","12","94002","8000000"
"2014","30","12","94002","8000000"
"2015","31","12","94002","8000000"
"7001","32","12","94002","8000000"
"7001","33","2","90005","5"
"7002","34","12","94002","8000000"
"7002","35","2","90005","5"
"7003","36","12","94002","8000000"
"7003","37","2","90005","5"
"7004","38","12","94002","8000000"
"7004","39","2","90005","10"
"7005","40","12","94002","8000000"
"7005","41","2","90005","10"
"7006","42","12","94002","8000000"
"7006","43","2","90005","10"
"7007","44","12","94002","8000000"
"7007","45","2","90005","15"
"7008","46","12","94002","8000000"
"7008","47","2","90005","15"
"7009","48","12","94002","8000000"
"7009","49","2","90005","15"
"7010","50","12","94002","8000000"
"7010","51","2","90005","20"
"7011","52","12","94002","8000000"
"7011","53","2","90005","20"
"7012","54","12","94002","8000000"
"7012","55","2","90005","20"
"7013","56","12","94002","8000000"
"7013","57","2","90005","25"
"7014","58","12","94002","8000000"
"7014","59","2","90005","25"
"7015","60","12","94002","8000000"
"7015","61","2","90005","25"
"7016","62","12","94002","8000000"
"7016","63","2","90005","30"
"7017","64","12","94002","8000000"
"7017","65","2","90005","30"
"7018","66","12","94002","8000000"
"7018","67","2","90005","30"
"7019","68","12","94002","8000000"
"7019","69","2","90005","35"
"7020","70","12","94002","8000000"
"7020","71","2","90005","35"
"7021","72","12","94002","8000000"
"7021","73","2","90005","35"
"7022","74","12","94002","8000000"
"7022","75","2","90005","40"
"8001","76","12","94002","8000000"
"8001","77","2","90008","1000"
"8002","78","12","94002","8000000"
"8002","79","2","90008","1250"
"8003","80","12","94002","8000000"
"8003","81","2","90008","1500"
"8004","82","12","94002","8000000"
"8004","83","2","90008","1750"
"8005","84","12","94002","8000000"
"8005","85","2","90008","2000"
"8006","86","12","94002","8000000"
"8006","87","2","90008","2250"
"8007","88","12","94002","8000000"
"8007","89","2","90008","2500"
"9001","90","2","80001","50"
"9002","91","2","80002","50"
"9003","92","2","80003","50"
"9004","93","2","80004","50"
"9005","94","2","80005","50"
"9006","95","2","80006","50"
"9007","96","2","80007","50"
"9008","97","2","80008","50"
"9009","98","2","80009","50"
"9010","99","2","80010","50"
