fa388788d06afd8b3be2aae86d4caba819781f5b23fa1115ddc787909ea0e508,644afa8529aa2ddc1f0021952ec806171f994fe8c279331ddefa080d96fb467c,400fc50f136ed4c32373c7f1764a7488d99375d804ea4d8c76aacb5942368976,97a882b5ffc066b6e378910d3a13fc15c17700d3848d068d97b91ff84cb63ac7,a64fd60e28f7d510ec49c42a56ace6667610b03d089800818bd4b973fe7a6bfd,5caed905a221feb463ed61292d8d6b198883f4bb3caa1de22cdba2b40376f3e3
"2","0","200","","100","1"
"300","2","200","","101","2"
"100207","7","201","","200","200"
"100206","6","100900","","200","201"
"302","0","301","","300","300"
"100301","0","302","","301","301"
"303","1","100910","","200","302"
"100201","2","100910","","200","303"
"0","0","0","201","0","100201"
"0","0","0","206","0","100206"
"0","0","0","207","0","100207"
"0","0","0","301","0","100301"
"0","0","0","1","300","100900"
"0","0","0","1","0","100901"
"0","0","0","1,2000","0","100910"
