7933fca3d2001c1b4c8e98a894ec320b713acc63a1c6bdd5ce8f2c0f5df28eef,67672779481177dcfbfa6bdd8deb9bfaab08029e574b1af99b3a9820316bccbd,e0924820792ff6fb5252b44a2456eea284eee55bf6a5c919f06c7ce5b44a89aa,2149c56c21244ffa9aa16f9019c11122803118ff7b27b318aa46779b07657228
"0","1","1","11"
"0","1","1","12"
"11002002","1","1","13"
"11003005","1","1","14"
"11002012","1","1","15"
"0","1","2","16"
"0","201","0","201"
"0","2000","0","203"
"0","2000","0","204"
"0","2000","0","205"
"0","206","0","206"
"0","207","0","207"
"0","301","0","301"
