f0ba7deda90459fc735e4e14dcdfa1ead1d874c090d94356b3ea0bf49a42bd47,cd2f479423a7c94d277f9daa8ac1de79b0919118fe78789808fb34ff7075e81d,ae069a40a85836655932e55fe3cb2a05dfdda1e7e57d9b1140a209733359731e,0664e7890c7cf83b5112504cf449856210d1ab0feb43e7393e520ad9f6681a13,af6b0596e1ff66c0abdd7c1c0552b6b11603fa5c5b1805e59b7415e3854cf759
"1","94002","1001","8000000","12"
"2","90005","1001","40","2"
"3","94002","1002","8000000","12"
"4","90005","1002","50","2"
"5","94002","1003","8000000","12"
"6","90005","1003","60","2"
"7","94002","1004","8000000","12"
"8","90005","1004","70","2"
"9","91002","1005","150","8"
"10","94002","1005","8000000","12"
"11","90005","1005","80","2"
"12","94002","1006","8000000","12"
"13","90005","1006","90","2"
"14","91002","1007","300","8"
"15","94002","1007","8000000","12"
"16","90005","1007","100","2"
"17","94002","2001","8000000","12"
"18","94002","2002","8000000","12"
"19","94002","2003","8000000","12"
"20","94002","2004","8000000","12"
"21","94002","2005","8000000","12"
"22","94002","2006","8000000","12"
"23","94002","2007","8000000","12"
"24","94002","2008","8000000","12"
"25","94002","2009","8000000","12"
"26","94002","2010","8000000","12"
"27","94002","2011","8000000","12"
"28","94002","2012","8000000","12"
"29","94002","2013","8000000","12"
"30","94002","2014","8000000","12"
"31","94002","2015","8000000","12"
"32","94002","7001","8000000","12"
"33","90005","7001","5","2"
"34","94002","7002","8000000","12"
"35","90005","7002","5","2"
"36","94002","7003","8000000","12"
"37","90005","7003","5","2"
"38","94002","7004","8000000","12"
"39","90005","7004","10","2"
"40","94002","7005","8000000","12"
"41","90005","7005","10","2"
"42","94002","7006","8000000","12"
"43","90005","7006","10","2"
"44","94002","7007","8000000","12"
"45","90005","7007","15","2"
"46","94002","7008","8000000","12"
"47","90005","7008","15","2"
"48","94002","7009","8000000","12"
"49","90005","7009","15","2"
"50","94002","7010","8000000","12"
"51","90005","7010","20","2"
"52","94002","7011","8000000","12"
"53","90005","7011","20","2"
"54","94002","7012","8000000","12"
"55","90005","7012","20","2"
"56","94002","7013","8000000","12"
"57","90005","7013","25","2"
"58","94002","7014","8000000","12"
"59","90005","7014","25","2"
"60","94002","7015","8000000","12"
"61","90005","7015","25","2"
"62","94002","7016","8000000","12"
"63","90005","7016","30","2"
"64","94002","7017","8000000","12"
"65","90005","7017","30","2"
"66","94002","7018","8000000","12"
"67","90005","7018","30","2"
"68","94002","7019","8000000","12"
"69","90005","7019","35","2"
"70","94002","7020","8000000","12"
"71","90005","7020","35","2"
"72","94002","7021","8000000","12"
"73","90005","7021","35","2"
"74","94002","7022","8000000","12"
"75","90005","7022","40","2"
"76","94002","8001","8000000","12"
"77","90008","8001","1000","2"
"78","94002","8002","8000000","12"
"79","90008","8002","1250","2"
"80","94002","8003","8000000","12"
"81","90008","8003","1500","2"
"82","94002","8004","8000000","12"
"83","90008","8004","1750","2"
"84","94002","8005","8000000","12"
"85","90008","8005","2000","2"
"86","94002","8006","8000000","12"
"87","90008","8006","2250","2"
"88","94002","8007","8000000","12"
"89","90008","8007","2500","2"
"90","80001","9001","50","2"
"91","80002","9002","50","2"
"92","80003","9003","50","2"
"93","80004","9004","50","2"
"94","80005","9005","50","2"
