b8d471492b55ff9d912077653ee0c9b2f6f5565cd5ce57ddb168e76073777ccd,1c312b4429a32be9c32144618c7a9fb9c20657cee82006a558d8573e13504f60,881ac4c298525e652646db0f6452408a743dfddf5d00bc793f1514346a2c8628,b11a9af42a9382d3ffc0412593f65a8bd9fbc93ea56f69cf7aeed5e1db1f422f,f152c9432ffa537b7a0b10e1cf25ad87d07f3184d5a1b186972690af65ed23b4
"1","美食殿","1","105801","50001"
"2","トゥインクル\nウィッシュ","2","100101","50002"
"7","サレンディア救護院","3","102801","50003"
"11","王宮騎士団\n（NIGHTMARE）","4","104701","50004"
"15","ラビリンス","5","106801","50005"
"3","カルミナ","6","102901","50006"
"5","悪魔偽王国軍\n（ディアボロス）","7","104401","50007"
"4","牧場\n（エリザベスパーク）","8","103301","50008"
"13","メルクリウス財団","9","103201","50009"
"9","トワイライト\nキャラバン","10","105601","50010"
