ff6cf702d7301c247d996e6da1baf263250d0aea49c2e5f8e7d63ea4b6f5431a,83ac68dea861126977d78511d3405e0022fee16b1a95af4f2f01b371f9f3d45b,3525d77da9d8bc711a463d48d94a26d4687bbb6cd88119b8fd1f9d6f251655b9,9237c49d27e8ca0113a396468184b60d621d12bb2b8670ce30cfb11e656439d8,ce22e9cdcee5ea84ba576b129efaee477610acdc7544d9816d56295529112b0c,e356a0482e4e4f78bcc5d2161b471d23ff3be4a7d353c37490f1b43a897ab605,b16b011c6e1e051006534d1078fccc7e1dc690c831c1aeb88083e0be1495c59b,2b12aff920df8447897bd585d5c54d8337f9a7c714e88334dfe16e62c668907e,d3c247e78500c935a7eac111884c92daf9e4307b86ce52ca3a41a2a44aef7cdb,b5ffadb6ef7514ba19927243134f38ea7ea1fb301eaf9d4e71206a1e9f10d890,ba21f9b334d04770246d618ec2aef7a3d559caa2a545f6e10aa7b03196663375,7503c40fbf914e003ed45d815720179870212f25a7dee6a31b11f514c7e220e1,5151e551dfbc997f5d6093f04f1328575bb660df56cbc35766f05a7ee3bdeb34,79ce394ddb7050e13005ee9cda13527e3348fa5dda39eea116b253ce6ffed961,59d6ef66ff2f6ce4ce0fa89b90d2bd42a634ccdc6fe2896173012cede13be1a3,18b71f93d6c361d34ab69e92c1f872db4f5afb9b10b66a3fabb594ecbd18c544,222861d0ae358138ee8c35e9046e3accd4d7e8309990bc804e8876d709bc7476,b27e8840a4c48f0efac7ffe295eebd820f8de8bfe218f39edc10ba1bab3636f1
"8","20004","2","4","300000","8","100","2","1","91002","1001","30","3","3","94002","12","150003","90005"
"8","140001","4","4","400000","60","150","2","2","91002","1001","30","3","3","94002","12","150004","90005"
"8","20004","2","4","500000","10","150","2","3","91002","1001","30","3","3","94002","12","150005","90005"
"8","140001","4","4","750000","90","200","2","4","91002","1001","30","3","3","94002","12","150006","90005"
"8","21951","2","4","1000000","1","200","2","5","91002","1001","30","3","3","94002","12","150007","90005"
"8","20004","2","4","300000","8","100","2","1","91002","1002","30","3","3","94002","12","150003","90005"
"8","140001","4","4","400000","60","150","2","2","91002","1002","30","3","3","94002","12","150004","90005"
"8","20004","2","4","500000","10","150","2","3","91002","1002","30","3","3","94002","12","150005","90005"
"8","140001","4","4","750000","90","200","2","4","91002","1002","30","3","3","94002","12","150006","90005"
"8","21951","2","4","1000000","1","200","2","5","91002","1002","30","3","3","94002","12","150007","90005"
"8","20004","2","4","300000","8","50","4","1","91002","1003","100","3","100","94002","12","150003","150004"
"8","140001","4","4","400000","60","100","2","2","91002","1003","50","3","5","94002","12","150005","90005"
"8","20004","2","4","0","10","100","12","3","91002","1003","50","3","500000","0","0","150006","94002"
"8","140001","4","4","750000","90","150","2","4","91002","1003","50","3","10","94002","12","150007","90005"
"8","21951","2","4","0","1","150","12","5","91002","1003","50","3","1000000","0","0","150008","94002"
"8","20004","2","4","300000","8","50","4","1","91002","1004","100","3","100","94002","12","150003","150004"
"8","140001","4","4","400000","60","100","2","2","91002","1004","50","3","5","94002","12","150005","90005"
"8","20004","2","4","0","10","100","12","3","91002","1004","50","3","500000","0","0","150006","94002"
"8","140001","4","4","750000","90","150","2","4","91002","1004","50","3","10","94002","12","150007","90005"
"8","21951","2","4","0","1","150","12","5","91002","1004","50","3","1000000","0","0","150008","94002"
"8","20004","2","4","300000","8","50","4","1","91002","1005","100","3","100","94002","12","150003","150004"
"8","140001","4","4","400000","60","100","2","2","91002","1005","50","3","5","94002","12","150005","90005"
"8","20004","2","4","0","10","100","12","3","91002","1005","50","3","500000","0","0","150006","94002"
"8","140001","4","4","750000","90","150","2","4","91002","1005","50","3","10","94002","12","150007","90005"
"8","21951","2","4","0","1","150","12","5","91002","1005","50","3","1000000","0","0","150008","94002"
"8","20004","2","4","300000","8","50","4","1","91002","1006","100","3","100","94002","12","150004","150005"
"8","140001","4","4","400000","60","100","2","2","91002","1006","50","3","5","94002","12","150006","90005"
"8","20004","2","4","0","10","100","12","3","91002","1006","50","3","500000","0","0","150007","94002"
"8","140001","4","4","750000","90","150","2","4","91002","1006","50","3","10","94002","12","150008","90005"
"8","21951","2","4","0","1","150","12","5","91002","1006","50","3","1000000","0","0","150009","94002"
