9190552e8da2cb36038515d97d581c1eea4de30b16f25ecc5f824e46f47643d0,a75888179117b416004ec16219969751eeed250b2c93972c7e9590f4288bc43c,fc7f4bc96c94f503550ee629ee6325582c56fb59ec089710cd8fdfc0283a25ed,fcef726562f67ed870dcd0f932c281740330cddb88995d923c9ae95b81b20aaf,3f0bb27a809b0012ae68a5e04031f0a75ce729654593b944266ad85ee00a4755,90e5f84dec0d02cbeb058b4f1d49af0c6d72bfd63a3b846b1d0cf5170f94ad0b,80709c422ffa93faba6a767873a47ad66e8fac98ef68dd5d8fb48393c7dde869,bfcb5fb462dd9285ee4c669320f45b6d1f737506650a0e93632b142a1d3fcfe0,71dcb5ebbf2fda82c42811230cccc200b4f4fc935d6aa2c7f63a54e925b23122,aa7be8f66f679d2aedb8c8192209d6744842aad32ccba95c0d51fae9c353343a
"10102","10103","2020-11-05 12:00:00","10101","アニメ Season1 全巻購入特典","101","10104","0","0","2030/05/15 4:59:59"
"10202","10203","2022-05-16 00:00:00","10201","アニメ Season2 全巻購入特典","102","0","0","0","2030/12/31 23:59:59"
"0","0","2021-05-19 00:00:00","0","週刊ファミ通","201","0","0","0","2022/05/19 23:59:59"
"0","0","2021-07-30 00:00:00","0","公式アートワークス Vol.3","202","0","0","0","2030/07/30 23:59:59"
"0","0","2023-01-15 15:00:00","0","プリコネフェス2023　リアルガチャ","203","0","0","0","2024/01/31 23:59:59"
"0","0","2024-02-14 00:00:00","0","キャラクターソングアルバムVol.5 購入特典","204","0","0","0","2025/02/13 23:59:59"
"0","0","2024-02-14 00:00:00","0","サウンドトラックVol.6 購入特典","205","0","0","0","2025/02/13 23:59:59"
"0","0","2024-11-29 12:00:00","0","佐賀市ふるさと納税返礼品","206","0","0","0","2030/12/31 23:59:59"
"0","0","2025-02-10 12:00:00","0","キャラクターソングアルバムVol.6 購入特典","207","0","0","0","2026/02/11 23:59:59"
"0","0","2025-08-12 12:00:00","0","佐賀市ふるさと納税返礼品 第2弾","208","0","0","0","2030/12/31 23:59:59"
"0","0","2026-01-29 12:00:00","0","Shadowverse EVOLVE 特典","209","0","0","0","2030/12/31 23:59:59"
"0","0","2026/02/13 12:00:00","0","プリコネフェス2026 シリアルコード","301","0","0","0","2026/03/13 18:59:59"
