612c102fa83168138e5583ee0b4de6f84ea872ca43c9c0f35b0078076eb37657,f59f94f371dc94f79298d77671da8a596983ed10488e52a3a21480339c998ec8,2d247641ffeffd797d09a56796238c9a9c2764acf74279653756f489a9ddcad3,f7a3c52573c038347fd5084ba5be2895b9133995e1160150143e0944a4ebfacf,a2bf39ae30130c55a9a5cb51d813fe5d8a64b43d5a20a267d5af5e6e618ee5c6,02b21ea38aed8f40f06edebebbdf25cab87dfe72ab6493b8242d597dc591269f,e70b025934d55e124ba3226cc7bf000077d0e4d3e512c970767f9e82fbd2dee3
"5126700","12","累計スコアを2500pt 獲得しよう","94002","1","2500","50000"
"0","12","累計スコアを5000pt 獲得しよう","94002","1","5000","50000"
"0","12","累計スコアを7500pt 獲得しよう","94002","1","7500","50000"
"5126701","7","累計スコアを10000pt 獲得しよう","2839","1","10000","1"
"0","12","累計スコアを12500pt 獲得しよう","94002","1","12500","80000"
"0","12","累計スコアを15000pt 獲得しよう","94002","1","15000","80000"
"0","12","累計スコアを17500pt 獲得しよう","94002","1","17500","80000"
"5126702","8","累計スコアを20000pt 獲得しよう","91002","1","20000","25"
"0","12","累計スコアを22500pt 獲得しよう","94002","1","22500","100000"
"0","12","累計スコアを25000pt 獲得しよう","94002","1","25000","100000"
"0","8","累計スコアを27500pt 獲得しよう","91002","1","27500","100"
"5126703","15","累計スコアを30000pt 獲得しよう","11001262","1","30000","1"
"5126710","12","累計スコアを2500pt 獲得しよう","94002","2","2500","50000"
"0","12","累計スコアを5000pt 獲得しよう","94002","2","5000","50000"
"0","12","累計スコアを7500pt 獲得しよう","94002","2","7500","50000"
"5126711","7","累計スコアを10000pt 獲得しよう","2840","2","10000","1"
"0","12","累計スコアを12500pt 獲得しよう","94002","2","12500","80000"
"0","12","累計スコアを15000pt 獲得しよう","94002","2","15000","80000"
"0","12","累計スコアを17500pt 獲得しよう","94002","2","17500","80000"
"5126712","8","累計スコアを20000pt 獲得しよう","91002","2","20000","25"
"0","12","累計スコアを22500pt 獲得しよう","94002","2","22500","100000"
"0","12","累計スコアを25000pt 獲得しよう","94002","2","25000","100000"
"0","8","累計スコアを27500pt 獲得しよう","91002","2","27500","100"
"5126713","15","累計スコアを30000pt 獲得しよう","11001263","2","30000","1"
