64fe196ad0b2278fce2ff215fc16a687cb84d1b86511540584286dfcb86e5978,916de1b2dac7f6edcde9105923e607896c25b62644b8bc5da02c8b9c94b568b8,8e6ece917b25cf25c3447f6987005a76a36c1aac8ed77eac0a743497d7d8029d,30227ee8888fbcbe20147c082009a674034b2245533ee1df8ef5343820677cce,22f3b7521393c2da93e05a31b3d61999f52ce612f68a639e93471243be0c16cc,f0fd472ac1aacd0e5e724093d6686efc7e56a99fc6dce7bc6fdb9eea1494a508,1b6e853a7742e76e5a53ffdb38a858d53a85adfc4abab876cd5eef60fa373a82,cd734a349d36d15ed53fc4b5c2895689f89f45570b7c62fee9b51eb29960d266,cce513f5319f5c5465d68d3f5ec44701488b73215e9ce86adedfcadc9cd6ff3d,35959cb7993778f5f65ff5c5d65c85d6c574c1b5700dbd6d56868a3e1e7029e2
"0","0","0","0","0","7001","ウヅキとリンのメモリー","10062","10062103","1"
"0","0","0","0","0","7002","ニュージェネレーションズのメモリー","10062","10062107","2"
"0","0","0","0","0","7003","ウヅキとミオのメモリー","10062","10062107","4"
"0","0","0","0","0","7004","美食殿のメモリー","10062","10062111","6"
"0","0","0","0","0","7005","リンとミオのメモリー","10062","10062111","7"
"0","0","0","0","0","7006","ニュージェネレーションズのメモリー","10062","10062111","8"
"0","0","0","0","0","7007","ニュージェネレーションズと美食殿のメモリー","10062","10062115","9"
"0","0","0","0","0","7008","美食殿のメモリー","10062","10062115","10"
"0","0","0","0","0","7009","ニュージェネレーションズと美食殿のメモリー","10063","10063111","14"
"0","0","0","0","0","7102","ニュージェネレーションズのメモリー","10062","10062107","3"
"0","0","0","0","0","7103","美食殿のメモリー","10062","10062107","5"
"0","0","0","0","0","7104","ニュージェネレーションズと美食殿のメモリー","10062","10062115","11"
"0","0","0","0","0","7105","ニュージェネレーションズと美食殿のメモリー","10063","10063111","12"
"0","0","0","0","0","7106","ニュージェネレーションズと美食殿のメモリー","10063","10063111","13"
"1","7","0","1","2405","7201","","10062","10062103","15"
