5411e688a604d0089431c6b09d4c419a994cd90b1d7c89d614f6def3f673bc6e,5281a85790d24c3062ab3a8a84db09b88510057fa6a371591ddf36dc7041f65c,5e8f770699606e5c2a7b6801024476c392a7cc70910ab3fb3c7a861058681721,019571f4badb7b2f208e7a4e28cd7da4affeef56dc23642949815a053f9fff2c,13df51bb51774445e4fcb82ea834c883f1a8e6abbc6d2500b4974603439dce73
"31008000","1","1","25","101"
"31001000","1","2","25","101"
"31002000","1","6","25","101"
"31001000","1","8","25","101"
"31006000","1","7","25","101"
"31007000","1","11","25","101"
"31002000","1","3","25","101"
"31007000","1","12","25","101"
"31005000","1","10","25","101"
"31007000","1","13","25","101"
"31006000","1","4","25","101"
"31004000","1","9","25","101"
"31007000","1","14","25","101"
"31008000","1","5","25","101"
