b05069f286d68ab4a967c114f1bf3e2a4a93dab0cf50c7e91d485afe67041e49,caa98de51b3cc5dd0f1d4bf2f1b47bdb28c93fd33c97b6d41abd6a7f01307fab,ed991491467d525243838c33edd9439202b939f9a973e0e3467202b664b8012f,1dd1675e202f725c435daea2524297d91d14cda935d29e2cc8583a44fa68c24f,16958738374405538589f5d61ded17fa52c33119aea7d662499f7860b12ac1ec,82fef9fbe19f8f92c7b416f6097ddc7b9265a9dd49c146b2118a2866c5a2cc33
"1","1","10","0","150","150"
"1","2","10","0","250","400"
"1","3","10","0","400","800"
"2","1","20","0","150","150"
"2","2","20","0","250","400"
"2","3","20","0","400","800"
"2","4","20","1","500","1300"
"3","1","30","0","800","800"
"3","2","30","0","1000","1800"
"3","3","30","0","1200","3000"
"3","4","30","1","1400","4400"
"3","5","30","2","1600","6000"
"4","1","40","0","800","800"
"4","2","40","0","1000","1800"
"4","3","40","0","1200","3000"
"4","4","40","1","1400","4400"
"4","5","40","2","1600","6000"
"5","0","0","0","0","0"
