17ba6eebfa62ed8ce5c42ef5c074b96db18953b3d2f67f05789f40235424a6ca,0c36ebcdb4c35410a6477e1d7c3b8a7a8eb96422a1a2a76b1d0510e24930fef9,920b270803dee6f68f5ec5283e56bbdb22b388c940b2ecfeda3d2b49bd5b1cdd,e1abc2d5249fdb4ccd647de1090cf0b918ef19a955565bcc5047b55bf211f074
"1","1000","1","170"
"2","3000","1","175"
"3","5000","1","180"
"4","7000","1","185"
"5","9000","1","190"
"6","11000","1","195"
"7","13000","1","200"
"8","15000","1","205"
"9","17000","1","210"
"10","19000","1","215"
"11","21000","1","220"
"12","23000","1","225"
"13","25000","1","230"
"14","27000","1","232"
"15","29000","1","234"
"16","31000","1","236"
"17","33000","1","238"
"18","35000","1","240"
"19","37000","1","242"
"20","39000","1","244"
"21","41000","1","246"
"22","43000","1","248"
"23","9999999","1","250"
"24","1000","2","170"
"25","3000","2","175"
"26","5000","2","180"
"27","7000","2","185"
"28","9000","2","190"
"29","11000","2","195"
"30","13000","2","200"
"31","15000","2","205"
"32","17000","2","210"
"33","19000","2","215"
"34","21000","2","220"
"35","23000","2","225"
"36","25000","2","230"
"37","27000","2","232"
"38","29000","2","234"
"39","31000","2","236"
"40","33000","2","238"
"41","35000","2","240"
"42","37000","2","242"
"43","39000","2","244"
"44","41000","2","246"
"45","43000","2","248"
"46","9999999","2","250"
"47","1000","3","170"
"48","3000","3","175"
"49","5000","3","180"
"50","7000","3","185"
"51","9000","3","190"
"52","11000","3","195"
"53","13000","3","200"
"54","15000","3","205"
"55","17000","3","210"
"56","19000","3","215"
"57","21000","3","220"
"58","23000","3","225"
"59","25000","3","230"
"60","27000","3","232"
"61","29000","3","234"
"62","31000","3","236"
"63","33000","3","238"
"64","35000","3","240"
"65","37000","3","242"
"66","39000","3","244"
"67","41000","3","246"
"68","43000","3","248"
"69","9999999","3","250"
