61030bca1653c8aa6adfca3b3962abfc49624206b6222d8b4402e7ca8d2541a6,2cc5b7381c735dbf69545a8d6594019aa27608358ca4e99a7781bfede30c201c,19fef5a9df0680eccc211c45f76e1f48547de89bbce45f194c4477ae993c202a,685fb3710909e69ca49b549a11425fef5b39fc1fcd45a39bcb202cacde5ad5c7
"1st Anniversary スペシャルログインボーナス","2019/02/15 5:00:00","10000","2019/03/01 4:59:59"
"GW スペシャルログインボーナス","2019/04/27 5:00:00","10001","2019/05/07 4:59:59"
"1.5Year Anniversary スペシャルログインボーナス","2019/08/15 5:00:00","10002","2019/09/01 4:59:59"
"2nd Anniversary スペシャルログインボーナス","2020/02/15 5:00:00","10003","2020/03/01 4:59:59"
"2.5 Year Anniversary スペシャルログインボーナス","2020/08/15 5:00:00","10004","2020/09/01 4:59:59"
"3rd Anniversary スペシャルログインボーナス","2021/02/15 5:00:00","10005","2021/03/01 4:59:59"
"3.5 Year Anniversary スペシャルログインボーナス","2021/08/15 5:00:00","10006","2021/09/01 4:59:59"
"4th Anniversary スペシャルログインボーナス","2022/02/15 5:00:00","10007","2022/03/01 4:59:59"
"4.5 Year Anniversary スペシャルログインボーナス","2022/08/15 5:00:00","10008","2022/09/01 4:59:59"
"5th Anniversary スペシャルログインボーナス","2023/02/15 5:00:00","10009","2023/03/01 4:59:59"
"5.5 Year Anniversary スペシャルログインボーナス","2023/08/15 5:00:00","10010","2023/09/01 4:59:59"
"6th Anniversary スペシャルログインボーナス","2024/02/15 5:00:00","10011","2024/03/01 4:59:59"
"6.5 Year Anniversary スペシャルログインボーナス","2024/08/15 5:00:00","10012","2024/09/01 4:59:59"
"7th Year Anniversary スペシャルログインボーナス","2025/02/15 5:00:00","10013","2025/03/01 4:59:59"
"7.5 Year Anniversary スペシャルログインボーナス","2025/08/15 5:00:00","10014","2025/09/01 4:59:59"
