38b452a95855e3438c5fce83ffe53f6b9aefe5e82575bdd906c0276e78ba2d4c,b0826b8077df01977d1cb322fb5bf7ec7e32ddcad7a8404ebaa8fb64ac89fc73,2196f31d28844a4fd8ad2f10570dfabddf03db15d5cde5c257ed0913100cc7a4,c2306f59697dfadb65ef12df7a28cbbc5ca4b17b033eacaa01d79849b1a9ab07,e7e41965ba5f27e9965484937498500a3580aab9b33bcce813cc42f03202207b,c8bbfb0eee684d838a5318c5bf88f9845eced30666c19a9e749c359a1781a3ca
"1","20025","1","0","1101","0"
"1","20025","1","0","1102","0"
"0","20025","1","5042002","1103","1"
"1","20025","1","0","1104","0"
"0","20025","1","5042003","1105","1"
"1","20025","1","0","1106","0"
"0","20025","1","5042005","1107","2"
"0","20025","2","5042007","1201","1"
"0","20025","2","5042007","1202","2"
"1","20025","2","0","1203","0"
"1","20025","2","0","1204","0"
"0","20025","1","0","1301","0"
