3b1e994146351dee33f93e0371f5cd51fb831bbbdfc551fd6724279d2ff65bb7,4757dce9d2a15861c902796f0114c9255c4e191f80c2cf7b04e98635d090b664,272b9a2c9c2d6333ffcdc9a8dce465f6e2e6347ff4fb2eca9de876817edec5c9
"1","4","14"
"2","15","20"
"3","21","25"
"4","26","30"
"5","31","35"
"6","36","40"
"7","41","45"
"8","46","50"
"9","51","55"
"10","56","60"
"11","61","65"
"12","66","70"
"13","71","75"
"14","76","80"
"15","81","85"
"16","86","90"
"17","91","95"
"18","96","100"
"19","101","105"
"20","106","110"
"21","111","115"
"22","116","120"
"23","121","125"
"24","126","130"
"25","131","135"
"26","136","140"
"27","141","145"
"28","146","150"
"29","151","155"
"30","156","160"
"31","161","165"
"32","166","170"
"33","171","175"
"34","176","180"
"35","181","185"
"36","186","190"
"37","191","195"
"38","196","200"
"39","201","205"
"40","206","210"
"41","211","215"
"42","216","220"
"43","221","225"
"44","226","230"
"45","231","235"
"46","236","240"
"47","241","245"
"48","246","250"
"49","251","255"
"50","256","260"
"51","261","265"
"52","266","270"
"53","271","275"
"54","276","280"
"55","281","285"
"56","286","290"
"57","291","295"
"58","296","300"
"59","301","305"
"60","306","310"
"61","311","315"
"62","316","320"
"63","321","325"
"64","326","330"
"65","331","335"
"66","336","340"
"67","341","345"
"68","346","350"
"69","351","355"
"70","356","358"
"71","359","-1"
