6b7fedeb162e3fbdb425297ca45fad193b1b17a3849ba15debb298f17587e879,a7b9b3214dab136501059267042d0c12eb759a87f12e053fe6572a350890e3c1,a425ea492beb66786754e81168df03480ae9064c56b88cd6c83e12ef7b666306,89b08a4f83e9f9bb60c8b41b0ed7c36bfb7f11c530a341afd3f0b379c105a701,1d761ac888885cd2199aedb014a9ee0c91e430435a91b31da62b00695155c5e3,4880d5eb7c35a96a7e144c88b4c775b435a8ca2d272a9694e714a7e1dac8fab5,cc4c58e1c50724c73bb7806a651b6277f42401b7752ff414b575fc54cf6eda58,92df25b4e131ddea5e0c31645cb22d7572affec8d9becba13c6c2cde2463f91d,c24da59904691f469f40c1922d511322d1284ff93254aff4abf1932f8a870f85,4bbecf996911869779ddf3c701a866463c9913878fbd26071e05cb9e434dfe93,afd8b69afa3c20859da50288b257fc47fb7c3aaadf118a4769f4de3eebb45342
"1","282001001","8","91002","10","2","25021","8","2","25012","31"
"2","282001002","8","91002","10","2","25021","8","2","25012","31"
"3","282001003","8","91002","10","2","25021","8","2","25012","32"
"4","282001004","8","91002","10","2","25021","8","2","25012","32"
"5","282001005","8","91002","10","2","25021","8","2","25012","33"
"6","282001006","8","91002","10","2","25021","9","2","25012","33"
"7","282001007","8","91002","10","2","25021","9","2","25012","34"
"8","282001008","8","91002","10","2","25021","9","2","25012","35"
"9","282001009","8","91002","10","2","25021","9","2","25012","35"
"10","282001010","8","91002","30","2","25021","10","2","25012","37"
"11","282001011","8","91002","10","2","25021","10","2","25012","41"
"12","282001012","8","91002","10","2","25021","11","2","25012","43"
"13","282001013","8","91002","10","2","25021","11","2","25012","46"
"14","282001014","8","91002","10","2","25021","12","2","25012","48"
"15","282001015","8","91002","10","2","25021","12","2","25012","50"
"16","282001016","8","91002","10","2","25021","13","2","25012","53"
"17","282001017","8","91002","10","2","25021","14","2","25012","55"
"18","282001018","8","91002","10","2","25021","14","2","25012","58"
"19","282001019","8","91002","10","2","25021","15","2","25012","60"
"20","282001020","8","91002","30","2","25021","15","2","25012","62"
"21","282001021","8","91002","10","2","25021","16","2","25012","68"
"22","282001022","8","91002","10","2","25021","16","2","25012","70"
"23","282001023","8","91002","10","2","25021","16","2","25012","72"
"24","282001024","8","91002","10","2","25021","17","2","25012","75"
"25","282001025","8","91002","10","2","25021","18","2","25012","77"
"26","282001026","8","91002","10","2","25021","18","2","25012","79"
"27","282001027","8","91002","10","2","25021","19","2","25012","82"
"28","282001028","8","91002","10","2","25021","19","2","25012","84"
"29","282001029","8","91002","10","2","25021","19","2","25012","86"
"30","282001030","8","91002","30","2","25021","20","2","25012","89"
