c3893f1041f7037781ad23abd6b2e1fa778b2d3666fc3dafd391421ef39573dd,7e358a2b979ebfaa8a9070acac19b62d013cc52e838e37041c13169a4a4d71bd,941315aba908e767d7cebfed2bc77a619c490d76d17432fe5300e385034c97c6,d65531bc4dc9ccc7a5aadb481d291620f0502856b7fca342c073dd157a872e4b,032723db9fc0bdfa89ffc44f033e92c894854b13fd1400c82df33d910107b6e6,d3dbb562ebb3f1790bf2ad178530a7eb606d082849032613fd315ae4aae321f6,1370675c0063ce75fbf22ca5ba81ebd12a16dee1a8b734c34643c327b2731cc2,ae6daf4b581f1bf9bd2e9fda9c4659d0b1e7b46fec5655fd0c9ba58a56c46144,18bbf386bd1370a63928fa05576aae4713429bc5df5fe70c321f8619babe2040,45c69553c54dd1440759d4043e07895cc6614c6626da53f7e62f20f4bd14a6d7,865e8c21d004f157bc13b4f0056c34a75653c020a9366cd5e40776fc63920ed6,4d09b2134602556b397c5e15e7cf1164e4b75df0ec68a5ec5ba76faf4df84320,71dae3d3a068a0a73e6a0c47ed65d7653334be52cc9b35b0cdbcbd65d2d12280
"","29","1","","","31001_01","3100101","","","","","",""
"","59","30","","","31001_03","3100101","","","","","",""
"","-1","60","","","31001_05","3100101","","","","","",""
"","29","1","","","31001_01","3100102","","","","","","31001_01"
"","59","30","","","31001_03","3100102","","","","","","31001_03"
"","-1","60","","","31001_05","3100102","","","","","","31001_05"
"","29","1","","","31001_01","3100103","31001_01","","","","","31001_01"
"","59","30","","","31001_03","3100103","31001_03","","","","","31001_03"
"","-1","60","","","31001_05","3100103","31001_05","","","","","31001_05"
"31001_01","29","1","","","31001_01","3100104","31001_01","","","","","31001_01"
"31001_03","59","30","","","31001_03","3100104","31001_03","","","","","31001_03"
"31001_05","-1","60","","","31001_05","3100104","31001_05","","","","","31001_05"
"","29","1","","","61003_01","3100201","","","","","","61003_02"
"","49","30","","","61003_03","3100201","","","","","","61003_04"
"","79","50","","","61003_05","3100201","","","","","","61003_06"
"","99","80","","","61003_07","3100201","","","","","","61003_08"
"","109","100","","","61003_09","3100201","","","","","","61003_10"
"","119","110","","","61003_11","3100201","","","","","","61003_12"
"","129","120","","","61003_13","3100201","","","","","","61003_14"
"","139","130","","","61003_15","3100201","","","","","","61003_16"
"","149","140","","","61003_17","3100201","","","","","","61003_18"
"","159","150","","","61003_19","3100201","","","","","","61003_20"
"","169","160","","","61003_21","3100201","","","","","","61003_22"
"","179","170","","","61003_23","3100201","","","","","","61003_24"
"","189","180","","","61003_25","3100201","","","","","","61003_26"
"","199","190","","","61003_27","3100201","","","","","","61003_28"
"","209","200","","","61003_29","3100201","","","","","","61003_30"
"","219","210","","","61003_31","3100201","","","","","","61003_32"
"","229","220","","","61003_33","3100201","","","","","","61003_34"
"","239","230","","","61003_35","3100201","","","","","","61003_36"
"","249","240","","","61003_37","3100201","","","","","","61003_38"
"","259","250","","","61003_39","3100201","","","","","","61003_40"
"","269","260","","","61003_41","3100201","","","","","","61003_42"
"","279","270","","","61003_43","3100201","","","","","","61003_44"
"","289","280","","","61003_45","3100201","","","","","","61003_46"
"","299","290","","","61003_47","3100201","","","","","","61003_48"
"","309","300","","","61003_49","3100201","","","","","","61003_50"
"","-1","310","","","61003_51","3100201","","","","","","61003_52"
